frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919957.617577199,481407,frame-00000.png
1,0.100000001,16919957.705410700,482270,frame-00001.png
2,0.150000006,16919957.779295299,467300,frame-00002.png
3,0.200000003,16919957.852547001,488756,frame-00003.png
4,0.250000000,16919957.923901699,478913,frame-00004.png
5,0.300000012,16919958.000331499,475150,frame-00005.png
6,0.350000024,16919958.080139700,482142,frame-00006.png
7,0.400000036,16919958.157512698,483992,frame-00007.png
8,0.450000048,16919958.225106400,480651,frame-00008.png
9,0.500000060,16919958.297450200,482342,frame-00009.png
10,0.000000060,16919958.363428298,467455,frame-00010.png
11,0.050000060,16919958.431741800,489486,frame-00011.png
