frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919955.374995898,470446,frame-00000.png
1,0.100000001,16919955.459156800,489501,frame-00001.png
2,0.150000006,16919955.542349000,480022,frame-00002.png
3,0.200000003,16919955.617211301,475873,frame-00003.png
4,0.250000000,16919955.692981102,483596,frame-00004.png
5,0.300000012,16919955.766798899,485229,frame-00005.png
6,0.350000024,16919955.837607801,483392,frame-00006.png
7,0.400000036,16919955.903397299,485267,frame-00007.png
8,0.450000048,16919955.968239199,471225,frame-00008.png
9,0.500000060,16919956.039377999,491107,frame-00009.png
10,0.550000072,16919956.104221098,481710,frame-00010.png
11,0.600000083,16919956.171610299,477841,frame-00011.png
12,0.650000095,16919956.237814400,482295,frame-00012.png
13,0.700000107,16919956.306244299,482795,frame-00013.png
14,0.750000119,16919956.374264501,480110,frame-00014.png
15,0.800000131,16919956.442438100,483154,frame-00015.png
16,0.850000143,16919956.513282798,468800,frame-00016.png
17,0.900000155,16919956.581925102,489962,frame-00017.png
18,0.950000167,16919956.648612801,481178,frame-00018.png
19,1.000000119,16919956.725159001,479412,frame-00019.png
20,1.050000072,16919956.796958402,486283,frame-00020.png
21,1.100000024,16919956.871551201,486392,frame-00021.png
22,1.149999976,16919956.940609600,484525,frame-00022.png
23,1.199999928,16919957.010313101,486794,frame-00023.png
24,1.249999881,16919957.078854199,472354,frame-00024.png
25,1.299999833,16919957.150621898,490925,frame-00025.png
26,1.349999785,16919957.221348502,480930,frame-00026.png
27,1.399999738,16919957.287335899,476934,frame-00027.png
28,1.449999690,16919957.352791902,481696,frame-00028.png
29,1.499999642,16919957.423589699,482744,frame-00029.png
30,0.049999595,16919957.491282899,480077,frame-00030.png
