frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919959.226768099,489109,frame-00000.png
1,0.100000001,16919959.298307098,482162,frame-00001.png
2,0.150000006,16919959.364619602,478097,frame-00002.png
3,0.200000003,16919959.433680400,483516,frame-00003.png
4,0.250000000,16919959.508000601,484392,frame-00004.png
5,0.300000012,16919959.579294000,483538,frame-00005.png
6,0.350000024,16919959.661205001,487592,frame-00006.png
7,0.400000036,16919959.742757201,475894,frame-00007.png
8,0.450000048,16919959.818293199,494607,frame-00008.png
9,0.500000060,16919959.885152198,488461,frame-00009.png
10,0.550000072,16919959.951841000,485839,frame-00010.png
11,0.600000083,16919960.023813002,488955,frame-00011.png
12,0.650000095,16919960.096420400,488490,frame-00012.png
13,0.700000107,16919960.168863799,484110,frame-00013.png
14,0.750000119,16919960.242579900,485768,frame-00014.png
15,0.800000131,16919960.314156201,470941,frame-00015.png
16,0.850000143,16919960.392375600,490728,frame-00016.png
17,0.900000155,16919960.474485900,481293,frame-00017.png
18,0.950000167,16919960.551880699,479198,frame-00018.png
19,0.000000119,16919960.624851201,483216,frame-00019.png
20,0.050000120,16919960.701182500,483704,frame-00020.png
