frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919950.952063400,482895,frame-00000.png
1,0.100000001,16919951.018530101,484946,frame-00001.png
2,0.150000006,16919951.088890899,482103,frame-00002.png
3,0.200000003,16919951.154159300,484428,frame-00003.png
4,0.250000000,16919951.217537399,468143,frame-00004.png
5,0.300000012,16919951.282946799,490368,frame-00005.png
6,0.350000024,16919951.348029800,480438,frame-00006.png
7,0.400000036,16919951.418579001,477961,frame-00007.png
8,0.450000048,16919951.489462201,482375,frame-00008.png
9,0.500000060,16919951.555481300,484399,frame-00009.png
10,0.550000072,16919951.626462501,481726,frame-00010.png
11,0.600000083,16919951.692823801,483875,frame-00011.png
12,0.650000095,16919951.758794401,467824,frame-00012.png
13,0.700000107,16919951.826941300,489967,frame-00013.png
14,0.750000119,16919951.893904701,480087,frame-00014.png
15,0.800000131,16919951.960786000,476756,frame-00015.png
16,0.850000143,16919952.029588901,481210,frame-00016.png
17,0.900000155,16919952.096643899,483865,frame-00017.png
18,0.950000167,16919952.162606802,481026,frame-00018.png
19,1.000000119,16919952.232099500,483682,frame-00019.png
20,1.050000072,16919952.301737901,467496,frame-00020.png
21,1.100000024,16919952.372430898,490071,frame-00021.png
22,1.149999976,16919952.443047099,480294,frame-00022.png
23,1.199999928,16919952.508198101,476863,frame-00023.png
24,1.249999881,16919952.575091101,480998,frame-00024.png
25,1.299999833,16919952.644681200,484038,frame-00025.png
26,1.349999785,16919952.713666402,480414,frame-00026.png
27,1.399999738,16919952.781992499,482862,frame-00027.png
28,1.449999690,16919952.858250398,467187,frame-00028.png
29,1.499999642,16919952.939961798,489277,frame-00029.png
30,1.549999595,16919953.022086699,479647,frame-00030.png
31,1.599999547,16919953.096934300,476251,frame-00031.png
32,1.649999499,16919953.172204301,480615,frame-00032.png
33,1.699999452,16919953.249955401,483197,frame-00033.png
34,1.749999404,16919953.324711401,480185,frame-00034.png
35,1.799999356,16919953.399479300,482662,frame-00035.png
36,1.849999309,16919953.471961599,467101,frame-00036.png
37,1.899999261,16919953.545393299,489559,frame-00037.png
38,1.949999213,16919953.611656498,479504,frame-00038.png
39,1.999999166,16919953.678781498,476336,frame-00039.png
40,0.049999237,16919953.749018800,480512,frame-00040.png
