frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919953.874581199,483306,frame-00000.png
1,0.100000001,16919953.941707999,486159,frame-00001.png
2,0.150000006,16919954.010525100,484056,frame-00002.png
3,0.200000003,16919954.079553999,486812,frame-00003.png
4,0.250000000,16919954.151091900,471721,frame-00004.png
5,0.300000012,16919954.221076600,492830,frame-00005.png
6,0.350000024,16919954.287990201,483593,frame-00006.png
7,0.400000036,16919954.359397501,478681,frame-00007.png
8,0.450000048,16919954.430777099,482957,frame-00008.png
9,0.500000060,16919954.498790499,484609,frame-00009.png
10,0.550000072,16919954.565648101,482255,frame-00010.png
11,0.600000083,16919954.634691902,485731,frame-00011.png
12,0.650000095,16919954.702471100,472647,frame-00012.png
13,0.700000107,16919954.770390701,493586,frame-00013.png
14,0.750000119,16919954.839110401,485532,frame-00014.png
15,0.800000131,16919954.908643801,481186,frame-00015.png
16,0.850000143,16919954.980941299,485521,frame-00016.png
17,0.900000155,16919955.051175401,485532,frame-00017.png
18,0.950000167,16919955.120668199,482617,frame-00018.png
19,0.000000119,16919955.187927600,484545,frame-00019.png
20,0.050000120,16919955.256560601,469887,frame-00020.png
