frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919960.821848400,482363,frame-00000.png
1,0.100000001,16919960.891436800,482020,frame-00001.png
2,0.150000006,16919960.959695902,484822,frame-00002.png
3,0.200000003,16919961.031828299,469898,frame-00003.png
4,0.250000000,16919961.100520201,490286,frame-00004.png
5,0.300000012,16919961.174100801,479892,frame-00005.png
6,0.350000024,16919961.242613401,474365,frame-00006.png
7,0.400000036,16919961.313599501,477791,frame-00007.png
8,0.450000048,16919961.379787799,478780,frame-00008.png
9,0.500000060,16919961.444747500,475979,frame-00009.png
10,0.550000072,16919961.512345500,477912,frame-00010.png
11,0.600000083,16919961.577760801,463672,frame-00011.png
12,0.650000095,16919961.645357899,484578,frame-00012.png
13,0.700000107,16919961.712367602,474440,frame-00013.png
14,0.750000119,16919961.782966901,470895,frame-00014.png
15,0.800000131,16919961.862662699,475354,frame-00015.png
16,0.850000143,16919961.935530201,477549,frame-00016.png
17,0.900000155,16919962.005785901,474782,frame-00017.png
18,0.950000167,16919962.081353899,477129,frame-00018.png
19,1.000000119,16919962.150780998,463738,frame-00019.png
20,1.050000072,16919962.221120000,485012,frame-00020.png
21,1.100000024,16919962.290437099,476086,frame-00021.png
22,1.149999976,16919962.361416500,474111,frame-00022.png
23,1.199999928,16919962.443590600,480118,frame-00023.png
24,1.249999881,16919962.523222700,483535,frame-00024.png
25,1.299999833,16919962.610503301,482009,frame-00025.png
26,1.349999785,16919962.683163401,484219,frame-00026.png
27,1.399999738,16919962.757236201,468706,frame-00027.png
28,1.449999690,16919962.835103098,489204,frame-00028.png
29,1.499999642,16919962.912507899,479073,frame-00029.png
30,0.049999595,16919962.989525601,476337,frame-00030.png
