experiment,seed,rounds,simulated_ms,capped,bot_rejects
0,1,29,1157100,0,0
0,2,34,1186900,0,0
0,3,33,1261800,0,0
0,4,32,1283600,0,0
0,5,32,1289250,0,0
0,6,33,1223450,0,0
0,7,31,1229450,0,0
0,8,32,1172850,0,0
0,9,37,1458250,0,0
0,10,33,1344100,0,0
0,11,31,1171850,0,0
0,12,28,1139450,0,0
0,13,29,1106100,0,0
0,14,32,1234650,0,0
0,15,31,1198100,0,0
0,16,29,1125700,0,0
0,17,28,1078150,0,0
0,18,32,1224750,0,0
0,19,31,1136250,0,0
0,20,37,1413400,0,0
0,21,38,1522550,0,0
0,22,34,1226100,0,0
0,23,36,1452450,0,0
0,24,31,1222150,0,0
0,25,31,1310950,0,0
1,1,29,1224950,0,0
1,2,34,1294300,0,0
1,3,33,1360650,0,0
1,4,32,1376900,0,0
1,5,32,1381900,0,0
1,6,32,1284000,0,0
1,7,31,1321400,0,0
1,8,33,1298100,0,0
1,9,36,1515000,0,0
1,10,33,1428600,0,0
1,11,31,1261700,0,0
1,12,28,1204750,0,0
1,13,29,1171350,0,0
1,14,32,1328650,0,0
1,15,30,1241650,0,0
1,16,28,1164700,0,0
1,17,28,1147300,0,0
1,18,31,1272850,0,0
1,19,31,1234100,0,0
1,20,35,1426950,0,0
1,21,35,1482700,0,0
1,22,34,1304350,0,0
1,23,34,1457450,0,0
1,24,31,1306950,0,0
1,25,31,1392700,0,0
