experiment,round,hp_scale_bp,damage_scale_bp
0,1,10000,10000
0,2,10000,10000
0,3,10000,10000
0,5,10000,10000
0,10,12000,11000
0,15,14000,12000
0,20,15000,13000
0,25,17000,14000
0,30,19000,15000
0,35,21000,16000
0,40,23000,17000
1,1,10000,10000
1,2,10000,10000
1,3,10000,10000
1,5,13000,12000
1,10,20400,15400
1,15,29400,19200
1,20,37500,23400
1,25,49300,28000
1,30,62700,33000
1,35,77700,38400
1,40,94300,44200
2,1,10000,10000
2,2,10000,10000
2,3,10000,10000
2,5,15000,13000
2,10,25800,17600
2,15,39200,22800
2,20,51750,28600
2,25,69700,35000
2,30,90250,42000
2,35,100000,49600
2,40,100000,57800
