experiment,seed,round,seat,winner,timeout,health_after,damage,reward
5,1,1,0,0,0,60,0,2
5,1,1,1,0,0,60,0,2
5,1,1,2,0,0,60,0,2
5,1,1,3,0,0,60,0,2
5,1,1,4,0,0,60,0,2
5,1,1,5,0,0,60,0,2
5,1,1,6,0,0,60,0,2
5,1,1,7,0,0,60,0,2
5,1,2,0,0,0,60,0,2
5,1,2,1,0,0,60,0,2
5,1,2,2,0,0,60,0,2
5,1,2,3,0,0,60,0,2
5,1,2,4,0,0,60,0,2
5,1,2,5,0,0,60,0,2
5,1,2,6,0,0,60,0,2
5,1,2,7,0,0,60,0,2
5,1,3,0,0,0,60,0,2
5,1,3,1,0,0,60,0,2
5,1,3,2,0,0,60,0,2
5,1,3,3,0,0,60,0,2
5,1,3,4,0,0,60,0,2
5,1,3,5,0,0,60,0,2
5,1,3,6,0,0,60,0,2
5,1,3,7,0,0,60,0,2
5,1,5,0,0,0,56,0,2
5,1,5,1,0,0,54,0,2
5,1,5,2,0,0,60,0,2
5,1,5,3,0,0,60,0,2
5,1,5,4,0,0,56,0,2
5,1,5,5,0,0,54,0,2
5,1,5,6,0,0,60,0,2
5,1,5,7,0,0,60,0,2
5,1,10,0,0,0,56,0,2
5,1,10,1,0,0,38,0,2
5,1,10,2,0,0,38,0,2
5,1,10,3,0,0,48,0,2
5,1,10,4,0,0,43,0,2
5,1,10,5,0,0,42,0,2
5,1,10,6,0,0,51,0,2
5,1,10,7,0,0,60,0,2
5,1,15,0,0,0,44,0,2
5,1,15,1,0,0,11,0,2
5,1,15,2,0,0,5,0,2
5,1,15,3,0,0,23,0,2
5,1,15,4,0,0,43,0,2
5,1,15,5,0,0,26,0,2
5,1,15,6,0,0,51,0,2
5,1,15,7,0,0,60,0,2
5,1,20,0,1,0,31,2,0
5,1,20,4,1,0,7,2,0
5,1,20,5,0,0,26,0,2
5,1,20,6,0,0,28,0,2
5,1,20,7,0,0,60,0,2
5,1,25,5,0,0,17,0,2
5,1,25,7,0,0,60,0,2
