seed,round,pvp_round_index,kind,wave_id,seat_a,seat_b,winner,ticks,timeout,survivors_a,survivors_b
1,1,0,2,wc_wave_01,0,-1,0,82,0,3,0
1,1,0,2,wc_wave_01,1,-1,0,89,0,4,0
1,1,0,2,wc_wave_01,2,-1,0,61,0,4,0
1,1,0,2,wc_wave_01,3,-1,0,58,0,4,0
1,1,0,2,wc_wave_01,4,-1,0,82,0,4,0
1,1,0,2,wc_wave_01,5,-1,0,58,0,4,0
1,1,0,2,wc_wave_01,6,-1,0,97,0,3,0
1,1,0,2,wc_wave_01,7,-1,0,65,0,4,0
1,2,0,2,wc_wave_02,0,-1,0,116,0,4,0
1,2,0,2,wc_wave_02,1,-1,0,77,0,4,0
1,2,0,2,wc_wave_02,2,-1,0,119,0,4,0
1,2,0,2,wc_wave_02,3,-1,0,99,0,4,0
1,2,0,2,wc_wave_02,4,-1,0,100,0,4,0
1,2,0,2,wc_wave_02,5,-1,0,98,0,4,0
1,2,0,2,wc_wave_02,6,-1,0,119,0,4,0
1,2,0,2,wc_wave_02,7,-1,0,85,0,4,0
1,3,0,2,wc_wave_03,0,-1,0,152,0,5,0
1,3,0,2,wc_wave_03,1,-1,0,93,0,5,0
1,3,0,2,wc_wave_03,2,-1,0,119,0,5,0
1,3,0,2,wc_wave_03,3,-1,0,105,0,5,0
1,3,0,2,wc_wave_03,4,-1,0,105,0,5,0
1,3,0,2,wc_wave_03,5,-1,0,109,0,5,0
1,3,0,2,wc_wave_03,6,-1,0,117,0,5,0
1,3,0,2,wc_wave_03,7,-1,0,109,0,5,0
1,4,1,0,,0,2,1,800,1,1,2
1,4,1,0,,1,7,1,495,0,0,4
1,4,1,0,,3,5,0,447,0,4,0
1,4,1,0,,4,6,1,717,0,0,2
1,5,1,2,wc_wave_05,0,-1,0,194,0,5,0
1,5,1,2,wc_wave_05,1,-1,0,151,0,5,0
1,5,1,2,wc_wave_05,2,-1,0,203,0,5,0
1,5,1,2,wc_wave_05,3,-1,0,146,0,5,0
1,5,1,2,wc_wave_05,4,-1,0,212,0,5,0
1,5,1,2,wc_wave_05,5,-1,0,227,0,5,0
1,5,1,2,wc_wave_05,6,-1,0,190,0,5,0
1,5,1,2,wc_wave_05,7,-1,0,208,0,5,0
1,6,2,0,,0,1,0,451,0,4,0
1,6,2,0,,2,4,1,800,1,1,3
1,6,2,0,,3,6,1,493,0,0,4
1,6,2,0,,5,7,1,790,0,0,3
1,7,3,0,,0,5,0,708,0,5,0
1,7,3,0,,1,6,1,800,1,1,2
1,7,3,0,,2,3,1,612,0,0,3
1,7,3,0,,4,7,1,720,0,0,2
1,8,4,0,,0,6,0,800,1,2,2
1,8,4,0,,1,2,0,629,0,4,0
1,8,4,0,,3,7,1,678,0,0,4
1,8,4,0,,4,5,1,800,1,1,1
1,9,5,0,,0,4,0,441,0,4,0
1,9,5,0,,1,3,1,572,0,0,4
1,9,5,0,,2,5,1,800,1,2,4
1,9,5,0,,6,7,1,800,1,1,3
1,10,5,2,wc_wave_10,0,-1,0,227,0,6,0
1,10,5,2,wc_wave_10,1,-1,0,250,0,6,0
1,10,5,2,wc_wave_10,2,-1,0,429,0,5,0
1,10,5,2,wc_wave_10,3,-1,0,262,0,6,0
1,10,5,2,wc_wave_10,4,-1,0,258,0,6,0
1,10,5,2,wc_wave_10,5,-1,0,290,0,6,0
1,10,5,2,wc_wave_10,6,-1,0,305,0,5,0
