seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,29,1208750,1025,1,15,120,18395,781,0,4,18397880124425653372,63000,622450
2,34,1247250,1285,1,7,123,15071,731,0,4,4452029743156371483,62500,326700
3,33,1331300,1193,1,11,124,17360,722,0,6,13306435196084313960,74000,513650
4,36,1523700,1336,1,32,132,21149,767,0,5,10652173462866145972,67800,606000
5,32,1358950,1180,1,34,129,20172,838,0,4,4357296624085704400,65900,596400
6,34,1348550,1182,1,15,129,18632,728,0,12,8586848352690697257,66750,380350
7,31,1288600,1234,1,27,133,19189,913,0,4,11439585065430378428,68050,539100
8,34,1254600,1136,1,6,129,16999,794,0,5,14574724797362103958,70450,346050
9,34,1404750,1179,1,21,131,19722,765,0,8,415711330614921040,80550,534500
10,33,1407100,1149,1,39,130,21255,849,0,6,17839909919293245075,67050,720700
11,31,1233850,1009,1,11,129,17834,786,0,9,13869095492043417200,66000,286300
12,28,1191600,1031,1,13,124,17914,906,0,7,14487536148128856889,63450,322350
13,28,1100800,852,1,11,117,15720,741,0,8,6751214142206823988,59150,415050
14,31,1232100,968,1,13,127,16655,831,0,7,18172077765323756880,64950,291900
15,31,1250750,900,1,16,124,17917,827,0,6,1958496835582246230,63250,492500
16,29,1182000,819,1,21,120,18142,699,0,3,15803960566029885432,60750,640100
17,28,1122200,815,1,18,120,18435,665,0,5,274629623240343538,61900,446950
18,31,1231500,930,1,15,129,17583,726,0,10,8719824978654077326,67900,355600
19,31,1194150,948,1,12,133,19451,835,0,10,15741620597146845371,68350,494200
20,37,1490550,1807,1,20,131,19008,739,0,4,8230077944438406806,68150,324750
21,34,1429700,1049,1,35,125,19076,762,0,2,5557001554999596568,65150,510000
22,34,1279450,1164,1,5,125,16014,813,0,4,12875586442714270603,64450,330350
23,34,1434500,1448,1,30,135,21491,756,0,11,10027145241040578458,71050,725450
24,31,1293600,1593,1,18,120,18018,763,0,6,11227765800274718595,65850,523150
25,30,1313900,2105,1,33,125,20185,866,0,6,3857273888479242112,64450,480150
26,31,1299250,5698,1,22,131,18405,830,0,5,9246378390831898155,67650,301100
27,32,1279800,1879,1,11,130,17946,810,0,5,3898803165615910109,66400,381600
28,34,1369900,1520,1,18,136,19946,797,0,5,13702359563950216715,71250,569100
29,28,1191450,1239,1,22,119,17998,824,0,6,18024450100716827405,60400,640650
30,29,1151250,1152,1,11,127,17348,829,0,4,17416784143777058002,65500,426000
31,36,1429450,1194,1,12,138,19228,765,0,11,9843006206466123279,72150,285250
32,31,1311150,1029,1,29,126,18818,804,0,10,15041909446433695975,66350,478800
33,27,1105350,859,1,15,119,17049,799,0,4,15288273184268045645,59950,448100
34,29,1211600,854,1,18,119,16770,755,0,2,646747895809026983,61800,376750
35,31,1289800,1055,1,30,131,20450,812,0,8,8341442105398567095,66850,553950
36,33,1377900,1062,1,27,134,19181,821,0,4,10876865088159418012,68700,586200
