seed,round,definition,star,effect,events
1,1,wc_u_dwarf_guardian,1,3,1
1,1,wc_u_halfling_ranger,2,5,1
1,1,wc_u_halfling_rogue,1,3,1
1,1,wc_u_halfling_warrior,1,2,1
1,1,wc_u_human_guardian,1,2,1
1,1,wc_u_orc_guardian,1,2,2
1,1,wc_u_dwarf_guardian,1,3,2
1,1,wc_u_dwarf_ranger,1,0,1
1,1,wc_u_halfling_warrior,1,2,1
1,1,wc_u_halfling_ranger,1,5,1
1,1,wc_u_human_guardian,1,2,1
1,1,wc_u_orc_rogue,1,4,1
1,1,wc_u_halfling_warrior,1,2,1
1,1,wc_u_dragonkin_priest,1,2,1
1,1,wc_u_halfling_warrior,1,2,1
1,1,wc_u_human_guardian,2,2,1
1,1,wc_u_halfling_warrior,1,2,2
1,1,wc_u_orc_rogue,1,4,1
1,2,wc_u_dwarf_warrior,1,0,1
1,2,wc_u_halfling_ranger,2,5,1
1,2,wc_u_human_guardian,1,2,1
1,2,wc_u_elf_rogue,1,4,1
1,2,wc_u_halfling_rogue,1,3,1
1,2,wc_u_halfling_warrior,1,2,2
1,2,wc_u_dwarf_guardian,2,3,1
1,2,wc_u_dwarf_ranger,1,0,1
1,2,wc_u_human_priest,1,1,1
1,2,wc_u_dragonkin_rogue,1,0,1
1,2,wc_u_dwarf_warrior,1,0,1
1,2,wc_u_orc_warrior,1,5,1
1,2,wc_u_dwarf_priest,1,1,1
1,2,wc_u_dwarf_ranger,1,0,1
1,2,wc_u_human_guardian,1,2,1
1,2,wc_u_halfling_warrior,1,2,1
1,2,wc_u_orc_guardian,1,2,3
1,2,wc_u_orc_rogue,1,4,1
1,2,wc_u_halfling_mage,1,0,1
1,2,wc_u_halfling_warrior,1,2,1
1,2,wc_u_human_guardian,2,2,1
1,2,wc_u_orc_warrior,1,5,1
1,2,wc_u_halfling_warrior,1,2,1
1,2,wc_u_human_guardian,1,2,1
1,2,wc_u_orc_rogue,1,4,1
1,3,wc_n_wisp,1,0,1
1,3,wc_u_dwarf_warrior,1,0,1
1,3,wc_u_halfling_ranger,2,5,1
1,3,wc_u_halfling_warrior,1,2,1
1,3,wc_u_human_guardian,1,2,1
1,3,wc_n_wisp,1,0,1
1,3,wc_u_elf_rogue,1,4,1
1,3,wc_u_halfling_rogue,1,3,1
1,3,wc_u_halfling_warrior,2,2,1
1,3,wc_u_human_guardian,1,2,1
1,3,wc_u_orc_guardian,1,2,1
1,3,wc_n_wisp,1,0,1
1,3,wc_u_dwarf_ranger,1,0,1
1,3,wc_u_human_priest,1,1,1
1,3,wc_u_orc_warrior,1,5,1
