seed,round,seat,health,gold,damage,wins,placement,settlement_id,pre_hash,post_hash,pvp_round_index,neutral,pending_reward
1,1,0,60,1,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,1,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,2,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,3,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,4,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,5,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,6,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,1,7,60,0,0,0,0,2149977875365857902,3248751213129734042,1658103910119013841,0,1,2
1,2,0,60,1,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,1,60,1,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,2,60,3,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,3,60,0,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,4,60,1,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,5,60,3,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,6,60,4,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,2,7,60,1,0,0,0,16923250331952155313,8430541827461028800,7236495728412438888,0,1,2
1,3,0,60,3,0,0,0,5048740785222810310,4012350326081445871,1350777728198515340,0,1,2
1,3,1,60,0,0,0,0,5048740785222810310,4012350326081445871,1350777728198515340,0,1,2
1,3,2,60,1,0,0,0,5048740785222810310,4012350326081445871,1350777728198515340,0,1,2
1,3,3,60,0,0,0,0,5048740785222810310,4012350326081445871,1350777728198515340,0,1,2
1,3,4,60,0,0,0,0,5048740785222810310,4012350326081445871,1350777728198515340,0,1,2
