seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,29,1247450,891,1,27,125,19773,759,0,8,7749312190626438355,70000,509750
2,28,1133550,832,1,12,121,16611,765,0,8,12144155566707077940,61300,558600
3,32,1340500,980,1,13,136,18830,908,0,8,13718844335393942588,70400,212850
4,29,1235000,836,1,24,120,18092,809,0,2,14152975918403222307,65200,739300
5,27,1101700,888,1,17,116,16405,727,0,3,14430084422145276991,59800,373600
6,31,1284650,1068,1,17,131,18819,809,0,2,7476903397615115964,69250,358500
7,28,1140400,1967,1,8,124,16711,828,0,4,15839449861378992944,63450,396650
8,32,1329850,1188,1,17,124,17789,792,0,7,11977884893840621695,71550,401250
9,27,1128900,1001,1,25,128,19095,781,0,3,18306887335177353852,73100,433650
10,31,1349000,951,1,30,127,19183,863,0,7,12183171524581838517,71600,497450
11,33,1285450,906,1,10,131,17407,836,0,3,3428053325834255534,68700,341800
12,31,1249750,909,1,14,129,18773,779,0,5,10284074401837385670,65950,517100
13,32,1339550,889,1,38,125,20797,779,0,5,14246679365426657674,64250,642850
14,28,1117950,781,1,16,117,15788,742,0,6,11678769845105803552,59300,249200
15,33,1393300,959,1,32,130,20530,848,0,4,18385933042620947877,69150,550200
16,31,1227900,940,1,17,129,19077,850,0,4,3734634542841231842,67350,699350
17,28,1133500,804,1,16,121,17369,770,0,6,10626336837385398520,63750,408450
18,32,1339950,1007,1,17,128,18704,800,0,7,1711826711763732410,65300,200150
19,27,1177950,890,1,27,120,18246,850,0,2,3757992272211200130,63100,547300
20,29,1167200,907,1,13,123,17591,771,0,7,5708462703607771580,62650,210750
21,33,1369400,960,1,24,126,18124,780,0,7,4872134732765245570,64650,341050
22,34,1363800,1119,1,7,130,17146,810,0,5,13781404147635422979,67650,232300
23,31,1310350,1147,1,25,124,17652,800,0,5,18098486285918437491,65150,396200
24,29,1174500,1114,1,26,121,18569,690,0,3,5159962419934954096,63800,491350
25,38,1551900,1229,1,15,128,17737,887,0,2,16750831572381754293,68600,261250
26,28,1173600,883,1,14,124,17724,835,0,4,6014497468552432186,63200,280650
27,32,1294050,986,1,16,131,18047,801,0,8,2703089374147368654,70300,415000
28,28,1189200,1161,1,20,126,17358,922,0,6,17514379021007388772,64650,591050
29,31,1304500,1015,1,19,133,19588,852,0,12,7556564687889295696,68950,772050
30,34,1424600,1062,1,21,141,20093,827,0,10,8595342732837350329,73100,524300
31,29,1196150,924,1,18,124,17331,858,0,5,8865102164078786580,64900,357900
32,29,1201050,936,1,22,131,19635,803,0,8,18302548022570564558,67450,475750
