subject,pressure,star,runs,wins,losses,draws,timeouts,mean_seconds,focus_basic_damage_hp100,focus_skill_damage_hp100,focus_effective_healing_hp100,focus_shield_absorbed_hp100,focus_active_actions,focus_applied_stun_packet_ms,focus_mean_alive_seconds,focus_dash_events
Elin_Elf4,Control_mixed,1,8,4,4,0,1,33.25,403967,0,0,0,19,0,22.6,0
Elin_Elf4,Control_mixed,2,8,5,3,0,1,33.275,725964,0,0,0,19,0,22.5063,0
Elin_Elf4,Ranger4_spread,1,8,0,8,0,0,23.5875,295419,0,0,0,16,0,17.375,0
Elin_Elf4,Ranger4_spread,2,8,0,8,0,0,23.5875,530081,0,0,0,16,0,17.375,0
Elin_Elf4,Warrior4_frontline,1,8,1,7,0,3,33.975,350883,0,0,0,17,0,20.2063,0
Elin_Elf4,Warrior4_frontline,2,8,1,7,0,2,33.8062,626195,0,0,0,18,0,20.2063,0
Elin_Priest4,Control_mixed,1,8,7,1,0,3,39.2375,530483,0,0,0,28,0,33.7812,0
Elin_Priest4,Control_mixed,2,8,7,1,0,3,38.5938,1036224,0,0,0,31,0,36.4125,0
Elin_Priest4,Ranger4_spread,1,8,0,8,0,0,28.6,349772,0,0,0,20,0,23.1687,0
Elin_Priest4,Ranger4_spread,2,8,0,8,0,0,29.0375,625548,0,0,0,20,0,23.3062,0
Elin_Priest4,Warrior4_frontline,1,8,2,6,0,6,38.1625,417959,0,0,0,25,0,28.225,0
Elin_Priest4,Warrior4_frontline,2,8,5,3,0,6,38.1125,795406,0,0,0,25,0,27.7625,0
Iri_Rogue4,Control_mixed,1,8,8,0,0,1,29.15,631634,119352,0,0,16,0,19.2563,0
Iri_Rogue4,Control_mixed,2,8,8,0,0,1,29.225,1151287,219119,0,0,17,0,19.2937,0
Iri_Rogue4,Ranger4_spread,1,8,0,8,0,0,23.4062,534682,112073,0,0,14,0,14.3313,0
Iri_Rogue4,Ranger4_spread,2,8,0,8,0,0,23.2063,969167,201747,0,0,14,0,14.2688,0
Iri_Rogue4,Warrior4_frontline,1,8,4,4,0,0,29.2812,697216,187657,0,0,21,0,20.0063,0
Iri_Rogue4,Warrior4_frontline,2,8,5,3,0,0,28.3875,1366055,328953,0,0,20,0,21.3562,0
Neris_Mage4,Control_mixed,1,8,8,0,0,0,25.65,501069,123478,0,0,22,18750,25.65,0
Neris_Mage4,Control_mixed,2,8,8,0,0,0,25.5,899396,239950,0,0,22,20000,25.5,0
Neris_Mage4,Ranger4_spread,1,8,0,8,0,0,23.9438,427955,75047,0,0,16,18750,20.8813,0
Neris_Mage4,Ranger4_spread,2,8,0,8,0,0,23.9625,770159,135090,0,0,16,18750,20.8938,0
Neris_Mage4,Warrior4_frontline,1,8,8,0,0,0,27.3875,475921,111905,0,0,20,22500,26.15,0
Neris_Mage4,Warrior4_frontline,2,8,8,0,0,0,27.3875,856664,201430,0,0,20,22500,25.9563,0
