fight,side,unit_id,instance,focus,alive,health,max_health,alive_ms,moving_ms,stunned_ms,shield_present_ms,positive_rate_modifier_ms,negative_rate_modifier_ms,basic_actions,active_actions,damage_basic_hp100,damage_skill_hp100,healing_hp100,shield_granted_hp100,shield_absorbed_hp100,overkill_hp100,applied_stun_packet_ms,dash_events,rate_modifier_events,received_healing_hp100,received_damage_hp100
1,0,wc_u_human_guardian,2097153,0,0,0,115500,7400,0,1250,1600,0,0,4,1,11076,0,0,20000,20000,0,0,0,0,0,115500
1,0,wc_u_dwarf_guardian,2097154,0,0,0,110000,15050,0,200,0,0,0,9,2,31434,0,0,0,0,0,5000,0,0,0,110000
1,0,wc_u_human_mage,2097155,0,1,68200,68200,22150,1000,0,0,0,0,13,3,47617,106579,0,0,0,17864,0,0,0,0,0
1,0,wc_u_orc_mage,2097156,0,1,12320,75000,22150,1000,0,0,0,0,12,2,46997,134653,0,0,0,20768,0,0,0,0,62680
1,0,wc_u_elf_mage,2097157,1,1,54232,69000,22150,0,0,0,0,0,14,2,53978,14608,0,0,0,1464,2500,0,0,0,14768
1,0,wc_u_halfling_mage,2097158,0,1,57000,57000,22150,2650,0,0,0,0,13,3,43033,66025,0,0,0,3091,0,0,0,0,0
1,1,wc_u_human_warrior,3145729,0,0,0,98000,5100,0,1400,0,0,0,3,0,18117,0,0,0,0,0,0,0,0,0,98000
1,1,wc_u_dwarf_warrior,3145730,0,0,0,100000,15800,0,2000,0,0,0,10,2,54581,27397,0,0,0,5109,0,0,0,0,100000
1,1,wc_u_orc_warrior,3145731,0,0,0,95000,15350,1900,1500,0,5550,0,10,2,44102,0,0,0,0,5284,0,0,2,0,95000
1,1,wc_u_halfling_warrior,3145732,0,0,0,76000,18950,1700,0,3650,0,0,15,2,80044,0,0,30000,15000,0,0,0,0,0,76000
1,1,wc_u_dragonkin_guardian,3145733,0,0,0,118000,10650,0,1000,1500,0,0,6,1,15794,0,0,24000,24000,0,0,0,0,0,118000
