fight,subject,pressure,star,seed,subject_side,side,formation,instance,unit_id,cost,copies,purchase_gold,local_col,local_row,combat_col,combat_row,initiative,max_health,basic_damage,armor,resistance,basic_bonus_bp,skill_bonus_bp,all_bonus_bp,rate_bonus_bp,support_bonus_bp,movement_bonus_bp
1,Neris_Mage4,Warrior4_frontline,1,1103,0,0,Neris_Mage4,2097153,wc_u_human_guardian,1,1,1,3,3,3,3,4,115500,4800,50,15,0,0,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,0,Neris_Mage4,2097154,wc_u_dwarf_guardian,1,1,1,4,3,4,3,8,110000,4400,55,10,0,0,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,0,Neris_Mage4,2097155,wc_u_human_mage,2,1,2,1,1,1,1,9,68200,4500,8,20,0,4000,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,0,Neris_Mage4,2097156,wc_u_orc_mage,3,1,3,3,1,3,1,7,75000,5000,12,25,0,4000,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,0,Neris_Mage4,2097157,wc_u_elf_mage,3,1,3,4,1,4,1,0,69000,4800,8,30,0,4000,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,0,Neris_Mage4,2097158,wc_u_halfling_mage,2,1,2,6,1,6,1,6,57000,4200,8,20,0,4000,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,1,Warrior4_frontline,3145729,wc_u_human_warrior,2,1,2,2,3,5,4,1,98000,7200,25,15,3000,0,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,1,Warrior4_frontline,3145730,wc_u_dwarf_warrior,2,1,2,4,3,3,4,10,100000,7000,25,15,3000,0,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,1,Warrior4_frontline,3145731,wc_u_orc_warrior,1,1,1,5,3,2,4,3,95000,6400,20,15,3000,0,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,1,Warrior4_frontline,3145732,wc_u_halfling_warrior,1,1,1,6,3,1,4,11,76000,5400,20,10,3000,0,0,0,0,0
