wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
5.015371,0,3,4,0,0,16.666800,2.990600,4.647300,16.334900,1,8811,8811,1,0
5.032706,0,3,4,0,0,16.666901,1.937500,4.374800,16.653299,1,8811,8811,1,0
5.048691,0,3,4,0,0,16.666800,3.356900,5.392100,17.944599,1,8811,8811,1,0
5.065471,0,3,4,0,0,16.666800,2.431700,4.829600,15.454200,1,8811,8811,1,0
5.082040,0,3,4,0,0,16.666698,2.506200,5.502500,16.679899,1,8811,8811,1,0
5.099989,0,3,4,0,0,16.822800,2.583500,4.914200,16.681000,1,8811,8811,1,0
5.115549,0,3,4,0,0,16.666901,5.887200,5.528600,20.090799,1,8811,8811,1,0
5.132182,0,3,4,0,0,16.666901,2.670900,4.388900,13.518900,1,8811,8811,1,0
5.148887,0,3,4,0,0,16.666800,2.552100,5.038600,16.486401,1,8811,8811,1,0
5.166336,0,3,4,0,0,16.666901,5.183300,4.196900,19.443701,1,8885,8885,1,0
5.182269,0,3,5,0,0,16.673401,5.312700,5.730000,15.594500,1,8885,8885,1,0
5.200121,0,3,5,0,0,16.666800,2.534000,4.053600,15.093800,1,8883,8883,1,0
5.215588,0,3,5,0,0,16.666698,3.672300,4.010200,17.779699,1,8883,8883,1,0
5.233463,0,3,5,0,0,16.667002,2.532800,4.480700,15.439800,1,8883,8883,1,0
5.248893,0,3,5,0,0,16.667097,3.490900,5.364200,18.176001,1,8883,8883,1,0
5.376032,0,3,5,0,0,125.390305,2.323900,0.417400,15.257600,1,8883,8883,1,0
5.390983,0,3,5,0,0,16.666897,106.354698,5.042600,130.205704,1,8879,8879,1,0
5.407718,0,3,5,0,0,16.666702,3.429000,4.903700,11.849800,1,8879,8879,1,0
5.424343,0,3,5,0,0,16.666800,2.653100,4.633200,16.712700,1,8879,8879,1,0
5.441344,0,3,5,0,0,16.667002,3.399400,4.819500,16.690100,1,8879,8879,1,0
5.460264,0,3,5,0,0,16.666897,2.918400,5.410400,17.097799,1,8877,8877,1,0
5.474312,0,3,5,0,0,16.666800,4.950900,4.720600,18.887699,1,8877,8877,1,0
5.491008,0,3,5,0,0,16.666702,2.671600,4.386700,14.003200,1,8877,8877,1,0
5.507696,0,3,5,0,0,16.667097,2.431100,4.652100,16.672701,1,8877,8877,1,0
