seed,round,pvp_round_index,kind,wave_id,seat_a,seat_b,winner,ticks,timeout,survivors_a,survivors_b
1,1,0,2,wc_wave_01,0,-1,0,82,0,3,0
1,1,0,2,wc_wave_01,1,-1,0,91,0,4,0
1,1,0,2,wc_wave_01,2,-1,0,73,0,4,0
1,1,0,2,wc_wave_01,3,-1,0,58,0,4,0
1,1,0,2,wc_wave_01,4,-1,0,82,0,4,0
1,1,0,2,wc_wave_01,5,-1,0,58,0,4,0
1,1,0,2,wc_wave_01,6,-1,0,97,0,3,0
1,1,0,2,wc_wave_01,7,-1,0,65,0,4,0
1,2,0,2,wc_wave_02,0,-1,0,99,0,4,0
1,2,0,2,wc_wave_02,1,-1,0,81,0,4,0
1,2,0,2,wc_wave_02,2,-1,0,128,0,4,0
1,2,0,2,wc_wave_02,3,-1,0,99,0,4,0
1,2,0,2,wc_wave_02,4,-1,0,119,0,4,0
1,2,0,2,wc_wave_02,5,-1,0,96,0,4,0
1,2,0,2,wc_wave_02,6,-1,0,95,0,4,0
1,2,0,2,wc_wave_02,7,-1,0,93,0,4,0
1,3,0,2,wc_wave_03,0,-1,0,132,0,5,0
1,3,0,2,wc_wave_03,1,-1,0,96,0,5,0
1,3,0,2,wc_wave_03,2,-1,0,143,0,5,0
1,3,0,2,wc_wave_03,3,-1,0,86,0,5,0
1,3,0,2,wc_wave_03,4,-1,0,105,0,5,0
1,3,0,2,wc_wave_03,5,-1,0,117,0,5,0
1,3,0,2,wc_wave_03,6,-1,0,161,0,5,0
1,3,0,2,wc_wave_03,7,-1,0,97,0,5,0
1,4,1,0,,0,2,1,732,0,0,3
1,4,1,0,,1,7,1,728,0,0,3
1,4,1,0,,3,5,0,500,0,3,0
1,4,1,0,,4,6,1,800,1,1,1
1,5,1,2,wc_wave_05,0,-1,0,174,0,5,0
1,5,1,2,wc_wave_05,1,-1,0,227,0,5,0
1,5,1,2,wc_wave_05,2,-1,0,221,0,5,0
1,5,1,2,wc_wave_05,3,-1,0,146,0,5,0
1,5,1,2,wc_wave_05,4,-1,0,174,0,5,0
1,5,1,2,wc_wave_05,5,-1,0,217,0,5,0
1,5,1,2,wc_wave_05,6,-1,0,235,0,5,0
1,5,1,2,wc_wave_05,7,-1,0,192,0,5,0
1,6,2,0,,0,1,0,364,0,5,0
1,6,2,0,,2,4,1,725,0,0,4
1,6,2,0,,3,6,0,757,0,2,0
1,6,2,0,,5,7,0,800,1,1,1
1,7,3,0,,0,5,0,764,0,2,0
1,7,3,0,,1,6,1,590,0,0,4
1,7,3,0,,2,3,1,520,0,0,5
1,7,3,0,,4,7,0,800,1,2,2
1,8,4,0,,0,6,0,598,0,4,0
1,8,4,0,,1,2,1,504,0,0,5
1,8,4,0,,3,7,1,800,1,1,4
1,8,4,0,,4,5,0,745,0,3,0
1,9,5,0,,0,4,0,800,1,2,1
1,9,5,0,,1,3,1,402,0,0,4
1,9,5,0,,2,5,1,800,1,2,2
1,9,5,0,,6,7,1,642,0,0,5
1,10,5,2,wc_wave_10,0,-1,0,251,0,6,0
1,10,5,2,wc_wave_10,1,-1,0,223,0,6,0
1,10,5,2,wc_wave_10,2,-1,0,262,0,6,0
1,10,5,2,wc_wave_10,3,-1,0,199,0,6,0
1,10,5,2,wc_wave_10,4,-1,0,221,0,6,0
1,10,5,2,wc_wave_10,5,-1,0,328,0,6,0
1,10,5,2,wc_wave_10,6,-1,0,252,0,5,0
1,10,5,2,wc_wave_10,7,-1,0,282,0,6,0
1,11,6,0,,0,7,0,800,1,3,1
1,11,6,0,,1,5,1,397,0,0,5
1,11,6,0,,2,6,1,736,0,0,2
1,11,6,0,,3,4,1,800,1,1,1
1,12,7,0,,0,3,0,768,0,2,0
1,12,7,0,,1,4,1,404,0,0,5
1,12,7,0,,2,7,1,793,0,0,5
1,12,7,0,,5,6,0,542,0,4,0
1,13,8,0,,0,5,1,692,0,0,3
1,13,8,0,,1,7,1,502,0,0,5
1,13,8,0,,2,4,1,791,0,0,3
1,13,8,0,,3,6,0,506,0,4,0
1,14,9,0,,0,2,0,593,0,4,0
1,14,9,0,,1,6,1,552,0,0,4
