seed,round,seat,health,gold,damage,wins,placement,settlement_id,pre_hash,post_hash,pvp_round_index,neutral,pending_reward
1,1,0,60,1,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,1,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,2,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,3,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,4,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,5,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,6,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,1,7,60,0,0,0,0,2149977875365857902,17091996364026523138,15860341413032490409,0,1,2
1,2,0,60,1,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,1,60,1,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,2,60,3,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,3,60,0,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,4,60,1,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,5,60,3,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,6,60,4,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,2,7,60,1,0,0,0,16923250331952155313,16763540575433145787,17787174619122586633,0,1,2
1,3,0,60,3,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,1,60,0,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,2,60,1,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,3,60,0,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,4,60,0,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,5,60,4,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,6,60,1,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,3,7,60,1,0,0,0,5048740785222810310,7805456044539730705,8671841746311167183,0,1,2
1,4,0,55,10,5,0,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,0
1,4,1,55,6,5,0,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,0
1,4,2,60,5,0,1,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,1
1,4,3,60,0,0,1,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,1
1,4,4,57,3,3,0,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,0
1,4,5,55,10,5,0,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,0
1,4,6,60,3,0,1,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,1
1,4,7,60,6,0,1,0,3253767002141245200,16305826192695361548,18048047156322964894,1,0,1
1,5,0,55,10,0,0,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,1,55,11,0,0,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,2,60,10,0,1,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,3,60,7,0,1,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,4,57,8,0,0,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,5,55,10,0,0,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,6,60,10,0,1,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,5,7,60,10,0,1,0,13103813257935905162,13841674734720386334,14731520033737836482,1,1,2
1,6,0,55,10,0,1,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,1
1,6,1,48,12,7,0,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,0
1,6,2,54,12,6,1,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,0
1,6,3,60,14,0,2,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,1
1,6,4,57,12,0,1,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,1
1,6,5,55,10,0,1,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,1
1,6,6,56,16,4,1,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,0
1,6,7,57,14,3,1,0,14552851030425498844,5337304717013654802,18295505237497895320,2,0,0
1,7,0,55,10,0,2,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,1
1,7,1,42,12,6,0,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,0
1,7,2,47,12,7,1,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,0
1,7,3,60,5,0,3,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,1
1,7,4,57,11,0,2,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,1
1,7,5,51,10,4,1,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,0
1,7,6,56,17,0,2,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,1
1,7,7,53,10,4,1,0,17074261698951876617,8727108398157016364,8457967344451538479,3,0,0
1,8,0,55,13,0,3,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,1
1,8,1,35,16,7,0,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,0
1,8,2,47,10,0,2,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,1
1,8,3,54,11,6,3,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,0
1,8,4,57,18,0,3,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,1
1,8,5,46,10,5,1,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,0
1,8,6,50,24,6,2,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,0
1,8,7,53,10,0,2,0,9892293010400213787,7758623858974112982,417954163747106695,4,0,1
1,9,0,55,20,0,4,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,1
1,9,1,29,12,6,0,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,0
1,9,2,43,17,4,2,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,0
1,9,3,54,17,0,4,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,1
1,9,4,53,25,4,3,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,0
1,9,5,46,10,0,2,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,1
1,9,6,43,26,7,2,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,0
1,9,7,53,15,0,3,0,9381731009010835128,10604660079734175007,14721573524107674278,5,0,1
1,10,0,55,26,0,4,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,1,29,18,0,0,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,2,43,23,0,2,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,3,54,24,0,4,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,4,53,32,0,3,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,5,46,12,0,2,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,6,43,33,0,2,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,10,7,53,22,0,3,0,11558945925480153256,12210988960051980552,16424837454241679286,5,1,2
1,11,0,55,35,0,5,0,7148693868525561203,2560787168862973490,16339011902571074802,6,0,1
1,11,1,22,26,7,0,0,7148693868525561203,2560787168862973490,16339011902571074802,6,0,0
1,11,2,39,26,4,2,0,7148693868525561203,2560787168862973490,16339011902571074802,6,0,0
1,11,3,51,33,3,4,0,7148693868525561203,2560787168862973490,16339011902571074802,6,0,0
