seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,29,1247450,787,1,27,125,19773,759,0,8,11932003616575564142,70000,509750
2,28,1133550,902,1,12,121,16611,765,0,8,466242255591614235,61300,558600
3,32,1340500,1411,1,13,136,18830,908,0,8,7898859441142997693,70400,212850
4,29,1235000,1194,1,24,120,18092,809,0,2,15818717822298365658,65200,739300
5,27,1101700,1097,1,17,116,16405,727,0,3,2106957436408039478,59800,373600
6,31,1284650,1266,1,17,131,18819,809,0,2,9748994156685639223,69250,358500
7,28,1140400,1205,1,8,124,16711,828,0,4,16779755555777621353,63450,396650
8,32,1329850,1081,1,17,124,17789,792,0,7,2551691516604500459,71550,401250
9,27,1128900,1080,1,25,128,19095,781,0,3,5657255049988261002,73100,433650
10,31,1349000,1440,1,30,127,19183,863,0,7,6641304926970290745,71600,497450
11,33,1285450,1351,1,10,131,17407,836,0,3,4569006411316826125,68700,341800
12,31,1249750,1355,1,14,129,18773,779,0,5,13908599809859267361,65950,517100
13,32,1339550,1212,1,38,125,20797,779,0,5,13509598897480261085,64250,642850
14,28,1117950,1048,1,16,117,15788,742,0,6,13826531077286643313,59300,249200
15,33,1393300,1569,1,32,130,20530,848,0,4,12135521752989771987,69150,550200
16,31,1227900,2089,1,17,129,19077,850,0,4,6311970186414095740,67350,699350
17,28,1133500,3692,1,16,121,17369,770,0,6,4285238025628539370,63750,408450
18,32,1339950,2301,1,17,128,18704,800,0,7,6372133930798480439,65300,200150
19,27,1177950,2137,1,27,120,18246,850,0,2,12955256939631508710,63100,547300
20,29,1167200,1718,1,13,123,17591,771,0,7,5430667570840216954,62650,210750
21,33,1369400,2367,1,24,126,18124,780,0,7,16647809137439486996,64650,341050
22,34,1363800,2820,1,7,130,17146,810,0,5,13610428999360291923,67650,232300
23,31,1310350,2311,1,25,124,17652,800,0,5,15089821108411127717,65150,396200
24,29,1174500,2158,1,26,121,18569,690,0,3,15707427274485994257,63800,491350
25,38,1551900,2134,1,15,128,17737,887,0,2,14362217751979731351,68600,261250
26,28,1173600,1844,1,14,124,17724,835,0,4,14681543087286085673,63200,280650
27,32,1294050,2071,1,16,131,18047,801,0,8,14321148149536435651,70300,415000
28,28,1189200,2266,1,20,126,17358,922,0,6,5740818794254391924,64650,591050
29,31,1304500,1915,1,19,133,19588,852,0,12,12620247328151085428,68950,772050
30,34,1424600,2106,1,21,141,20093,827,0,10,2023534128060640850,73100,524300
31,29,1196150,2207,1,18,124,17331,858,0,5,14098162688171416118,64900,357900
32,29,1201050,2195,1,22,131,19635,803,0,8,8113582801686387639,67450,475750
33,31,1293000,2119,1,16,121,17213,770,0,1,5015983117653729576,61350,444350
34,33,1308900,2002,1,14,132,18674,756,0,8,10220503561722300543,70600,258850
35,36,1351150,1830,1,4,135,17637,780,0,11,11765362003508597920,70100,429800
36,30,1254600,1215,1,18,132,18659,808,0,5,6365511031737182423,67700,505500
37,29,1202800,1323,1,17,123,17802,800,0,4,14772967763628766458,62500,413150
38,28,1217450,1245,1,34,125,20232,828,0,6,971301366657852913,63750,579850
39,27,1131900,1157,1,25,118,17347,745,0,4,11142876033786983774,59850,208200
40,30,1254500,1248,1,17,127,18078,879,0,6,17438478806767870359,65650,427500
41,33,1310200,1295,1,8,123,16060,833,0,5,6446847955459977326,63150,242350
42,33,1284400,1262,1,13,123,16870,723,0,5,9442210679338325549,66450,398000
43,31,1275200,1185,1,18,117,17097,759,0,2,13193738835382450877,61400,513300
44,28,1159800,1169,1,19,121,17873,756,0,8,1394654163187172218,62350,502550
45,29,1183250,1145,1,13,115,15405,813,0,3,17112220625090761455,61550,489250
46,31,1244700,1074,1,11,122,17051,850,0,1,6431876901792325972,63100,363350
47,33,1394100,1221,1,22,129,19932,807,0,7,10183839131676419965,66050,343550
48,40,1574600,1286,1,10,138,18328,833,0,6,10095048568312092523,71300,310450
49,33,1355550,1060,1,23,127,18361,767,0,6,4103599358748535127,65800,624400
50,30,1150950,950,1,5,124,15634,847,0,4,17655807617224340173,75250,395000
51,29,1110250,875,1,8,118,15417,785,0,2,15828388641968946021,59650,250600
52,29,1228100,969,1,23,124,18154,813,0,7,3911511034706738536,63900,444650
53,32,1298850,1175,1,13,133,18302,795,0,3,16654894025391340536,69200,535400
54,27,1139650,969,1,16,119,17123,867,0,3,12240110730682866237,60950,312300
55,30,1216850,996,1,26,121,17642,722,0,3,8230622457568983998,63400,480100
56,34,1426950,1316,1,23,124,18837,801,0,4,6012133266791126658,63600,465950
57,32,1334100,1123,1,21,129,18721,742,0,10,387348134922356508,67400,448050
58,26,1069450,986,1,20,122,17840,791,0,5,1493346735484883032,63000,565450
59,33,1420250,1219,1,33,135,21148,895,0,10,15956846565544894215,69450,601700
60,29,1218250,1046,1,18,127,18325,936,0,6,9123034814450243046,64800,387100
61,29,1213950,1037,1,21,121,17676,824,0,4,5999650505472487847,62600,681600
62,28,1221850,1084,1,36,127,20722,914,0,4,3707799362473749583,64800,590200
63,28,1197950,1078,1,28,125,18849,880,0,5,13952830536311389976,72850,295750
64,27,1152150,971,1,13,125,17761,868,0,7,15559002232357956648,64350,378200
65,29,1177000,1069,1,17,124,18290,869,0,7,4097518072426979162,64550,497500
66,27,1054300,902,1,13,116,15797,742,0,0,8580049087147846086,58400,219000
67,33,1360500,1131,1,12,131,18419,806,0,6,10097537128613114462,67400,510600
68,37,1525000,1404,1,14,132,19010,853,0,9,14625880892909126486,72550,634100
69,37,1499950,1309,1,9,131,17473,967,0,3,9133981804507967077,68550,190150
70,36,1448350,1257,1,9,129,17802,854,0,1,3298667624984360389,66150,722900
71,28,1114700,995,1,16,117,16196,722,0,1,11732541978177888721,59450,382900
72,29,1202500,1074,1,25,124,18864,763,0,6,14435417014962494332,83650,641500
73,32,1325950,1195,1,16,126,17850,854,0,1,16672646066412697794,66400,393350
74,33,1220100,1137,1,2,126,15895,763,0,6,1381618885626938409,64650,101450
75,31,1298000,1163,1,25,124,18772,734,0,6,12601691278643437043,64950,601850
76,34,1364750,1111,1,11,132,17567,761,0,5,6609274903542548059,69000,221100
77,32,1364050,1201,1,20,126,18436,767,0,6,11997055405383206706,65850,401950
78,30,1285800,1149,1,24,121,19411,783,0,6,5076122548186079382,61200,769900
79,33,1367500,1290,1,20,126,18909,787,0,3,6117405828197968585,65800,478950
80,29,1109000,1000,1,7,119,15589,789,0,8,1987266404633608331,62200,202600
81,32,1353050,1206,1,33,132,20327,792,0,4,16970817726601557123,67650,507350
82,31,1308550,1316,1,26,130,20332,791,0,5,8893570368050970854,67750,300650
83,29,1134150,1097,1,7,119,15062,816,0,3,8575942849698125635,59950,200850
84,33,1335650,1195,1,17,126,17333,820,0,4,3126876378321089382,69950,269900
85,32,1302250,1275,1,24,138,20263,802,0,10,8364791834834442637,70900,370700
86,31,1314650,1404,1,35,133,21529,857,0,7,14910297375638303144,69500,693600
87,36,1425950,1356,1,16,138,19434,747,0,5,10331168932056315888,70950,210850
88,31,1244350,1200,1,15,124,17398,774,0,4,17591792070101036347,66150,532950
89,29,1237050,1245,1,26,121,19191,780,0,5,14853178911150735175,61500,460050
90,29,1245700,1230,1,18,121,17934,775,0,5,15042107747610860896,61900,567550
91,32,1294400,1318,1,17,121,17213,848,0,4,11946662075201763550,62200,272550
92,32,1306550,1267,1,17,127,17733,819,0,6,10454340479811469371,65150,316550
93,34,1309600,1416,1,7,130,17147,830,0,9,4912946012340179528,66800,275850
94,28,1103100,1231,1,8,116,15788,741,0,5,4233593763209042072,59800,319400
95,32,1311650,1516,1,25,136,20627,814,0,11,18221808477842744087,71000,622600
96,27,1134700,1368,1,23,118,17857,768,0,4,9532669370070714497,59700,411950
97,33,1380650,1545,1,29,130,20357,811,0,8,14659029858939555868,68200,433200
98,32,1336400,1512,1,20,128,18077,800,0,3,1635073260008323823,66200,558900
99,34,1392000,1472,1,14,128,18510,889,0,3,17654721253965805723,66800,392050
100,34,1417550,1419,1,24,131,19784,753,0,4,8151958969075375590,69550,564950
