frame,animation_seconds,wall_seconds,bytes,file
0,0.0,100.0,184,frame-00000.png
1,0.05,100.07,186,frame-00001.png
2,0.1,100.14,186,frame-00002.png
3,0.15000000000000002,100.21,186,frame-00003.png
4,0.2,100.28,186,frame-00004.png
5,0.25,100.35,184,frame-00005.png
6,0.30000000000000004,100.42,186,frame-00006.png
7,0.35000000000000003,100.49,186,frame-00007.png
8,0.4,100.56,186,frame-00008.png
9,0.45,100.63,184,frame-00009.png
10,0.5,100.7,186,frame-00010.png
11,0.55,100.77,186,frame-00011.png
12,0.6000000000000001,100.84,185,frame-00012.png
13,0.65,100.91,185,frame-00013.png
14,0.7000000000000001,100.98,185,frame-00014.png
15,0.75,101.05,185,frame-00015.png
16,0.8,101.12,185,frame-00016.png
17,0.8500000000000001,101.19,185,frame-00017.png
18,0.9,101.26,185,frame-00018.png
19,0.9500000000000001,101.33,185,frame-00019.png
20,0.0,101.4,185,frame-00020.png
