frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16830723.334146399,505070,frame-00000.png
1,0.100000001,16830723.407051001,507943,frame-00001.png
2,0.150000006,16830723.482688200,489581,frame-00002.png
3,0.200000003,16830723.557612401,514867,frame-00003.png
4,0.250000000,16830723.643520702,506035,frame-00004.png
5,0.300000012,16830723.722701602,498677,frame-00005.png
6,0.350000024,16830723.802971698,503717,frame-00006.png
7,0.400000036,16830723.883791599,507184,frame-00007.png
8,0.450000048,16830723.960029099,503284,frame-00008.png
9,0.500000060,16830724.041899599,507704,frame-00009.png
10,0.000000060,16830724.116259702,488974,frame-00010.png
11,0.050000060,16830724.198372800,514900,frame-00011.png
