frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16830722.087338101,509114,frame-00000.png
1,0.100000001,16830722.157432500,491047,frame-00001.png
2,0.150000006,16830722.229568999,516711,frame-00002.png
3,0.200000003,16830722.299607299,506190,frame-00003.png
4,0.250000000,16830722.372409400,498744,frame-00004.png
5,0.300000012,16830722.448024102,503748,frame-00005.png
6,0.350000024,16830722.518552501,507836,frame-00006.png
7,0.400000036,16830722.598283701,503591,frame-00007.png
8,0.450000048,16830722.669679001,508105,frame-00008.png
9,0.500000060,16830722.739038501,489615,frame-00009.png
10,0.550000072,16830722.809608899,515598,frame-00010.png
11,0.600000083,16830722.884761300,506262,frame-00011.png
12,0.650000095,16830722.959742200,499608,frame-00012.png
13,0.700000107,16830723.038428601,504934,frame-00013.png
14,0.000000119,16830723.113192301,509017,frame-00014.png
15,0.050000120,16830723.188885599,504924,frame-00015.png
