frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16830717.574210901,488371,frame-00000.png
1,0.100000001,16830717.641086299,492592,frame-00001.png
2,0.150000006,16830717.705241200,496825,frame-00002.png
3,0.200000003,16830717.769522499,492001,frame-00003.png
4,0.250000000,16830717.832625501,496293,frame-00004.png
5,0.300000012,16830717.896477699,479154,frame-00005.png
6,0.350000024,16830717.962794099,503581,frame-00006.png
7,0.400000036,16830718.026324201,492908,frame-00007.png
8,0.450000048,16830718.089564301,487361,frame-00008.png
9,0.500000060,16830718.154303800,491872,frame-00009.png
10,0.550000072,16830718.218292199,495831,frame-00010.png
11,0.600000083,16830718.281172302,492283,frame-00011.png
12,0.650000095,16830718.352299102,504614,frame-00012.png
13,0.700000107,16830718.415185299,491163,frame-00013.png
14,0.750000119,16830718.482368901,517133,frame-00014.png
15,0.800000131,16830718.547202099,507040,frame-00015.png
16,0.850000143,16830718.615712401,500042,frame-00016.png
17,0.900000155,16830718.691936899,505799,frame-00017.png
18,0.950000167,16830718.763375599,509549,frame-00018.png
19,1.000000119,16830718.838397801,505638,frame-00019.png
20,1.050000072,16830718.907723900,509927,frame-00020.png
21,1.100000024,16830718.975899599,491133,frame-00021.png
22,1.149999976,16830719.048701201,517318,frame-00022.png
23,1.199999928,16830719.119566400,507792,frame-00023.png
24,1.249999881,16830719.191815902,499971,frame-00024.png
25,1.299999833,16830719.264259402,505483,frame-00025.png
26,1.349999785,16830719.333654601,509493,frame-00026.png
27,1.399999738,16830719.409088399,505279,frame-00027.png
28,1.449999690,16830719.481833100,509525,frame-00028.png
29,1.499999642,16830719.549376801,490684,frame-00029.png
30,1.549999595,16830719.624103200,516936,frame-00030.png
31,1.599999547,16830719.694759600,506902,frame-00031.png
32,1.649999499,16830719.764990199,499423,frame-00032.png
33,1.699999452,16830719.834744699,504753,frame-00033.png
34,1.749999404,16830719.905566901,508923,frame-00034.png
35,1.799999356,16830719.979114600,504353,frame-00035.png
36,1.849999309,16830720.049828500,508710,frame-00036.png
37,1.899999261,16830720.118583798,490383,frame-00037.png
38,1.949999213,16830720.189907402,516489,frame-00038.png
39,1.999999166,16830720.260806300,506830,frame-00039.png
40,0.049999237,16830720.343288600,499678,frame-00040.png
