frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16830720.492699999,501294,frame-00000.png
1,0.100000001,16830720.563488498,506275,frame-00001.png
2,0.150000006,16830720.636805099,510410,frame-00002.png
3,0.200000003,16830720.706411101,506783,frame-00003.png
4,0.250000000,16830720.780774299,510657,frame-00004.png
5,0.300000012,16830720.848489799,492311,frame-00005.png
6,0.350000024,16830720.918426000,518128,frame-00006.png
7,0.400000036,16830720.988577802,508376,frame-00007.png
8,0.450000048,16830721.059512299,500648,frame-00008.png
9,0.500000060,16830721.129914701,505714,frame-00009.png
10,0.550000072,16830721.208128098,509932,frame-00010.png
11,0.600000083,16830721.281045001,506377,frame-00011.png
12,0.650000095,16830721.358744401,510465,frame-00012.png
13,0.700000107,16830721.429819699,491817,frame-00013.png
14,0.750000119,16830721.502758499,518080,frame-00014.png
15,0.800000131,16830721.574195400,507409,frame-00015.png
16,0.850000143,16830721.644215800,499697,frame-00016.png
17,0.900000155,16830721.719089601,505025,frame-00017.png
18,0.950000167,16830721.792869098,508744,frame-00018.png
19,0.000000119,16830721.865275100,505847,frame-00019.png
20,0.050000120,16830721.937727600,509862,frame-00020.png
