frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16830726.479754001,509315,frame-00000.png
1,0.100000001,16830726.552356001,504824,frame-00001.png
2,0.150000006,16830726.627421100,508787,frame-00002.png
3,0.200000003,16830726.698688999,489893,frame-00003.png
4,0.250000000,16830726.773730300,516164,frame-00004.png
5,0.300000012,16830726.846678499,505638,frame-00005.png
6,0.350000024,16830726.924942199,498285,frame-00006.png
7,0.400000036,16830726.998744801,503444,frame-00007.png
8,0.450000048,16830727.074338801,507753,frame-00008.png
9,0.500000060,16830727.149855901,503132,frame-00009.png
10,0.550000072,16830727.223062001,507616,frame-00010.png
11,0.600000083,16830727.297098700,488496,frame-00011.png
12,0.650000095,16830727.370543402,514966,frame-00012.png
13,0.700000107,16830727.441599201,505480,frame-00013.png
14,0.750000119,16830727.511094999,497596,frame-00014.png
15,0.800000131,16830727.582579300,502901,frame-00015.png
16,0.850000143,16830727.654438000,507716,frame-00016.png
17,0.900000155,16830727.723129898,502690,frame-00017.png
18,0.950000167,16830727.793290600,507295,frame-00018.png
19,1.000000119,16830727.860987201,488456,frame-00019.png
20,1.050000072,16830727.931913000,514603,frame-00020.png
21,1.100000024,16830728.002949499,505231,frame-00021.png
22,1.149999976,16830728.075057499,497362,frame-00022.png
23,1.199999928,16830728.148703400,503324,frame-00023.png
24,1.249999881,16830728.223077800,507970,frame-00024.png
25,1.299999833,16830728.298749100,504044,frame-00025.png
26,1.349999785,16830728.373584699,509297,frame-00026.png
27,1.399999738,16830728.447155699,490793,frame-00027.png
28,1.449999690,16830728.520152599,516649,frame-00028.png
29,1.499999642,16830728.595942199,507037,frame-00029.png
30,0.049999595,16830728.667809699,499748,frame-00030.png
