wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page
5.006573,0,2,4,0,0,16.667002,2.375900,4.083500,16.453699,1,8231,8231,1,0,closed
5.023119,0,2,4,0,0,16.666698,2.866800,3.988400,16.923599,1,8231,8231,1,0,closed
5.039823,0,2,4,0,0,16.666901,2.569700,5.036200,16.863300,1,8231,8231,1,0,closed
5.056394,0,2,4,0,0,16.666800,3.014100,3.778300,16.430000,1,8231,8231,1,0,closed
5.073182,0,2,4,0,0,16.666901,3.136300,4.181300,17.237000,1,8231,8231,1,0,closed
5.090761,0,2,4,0,0,16.666698,2.729200,4.651000,16.166901,1,8228,8228,1,0,closed
5.106510,0,2,4,0,0,16.666800,5.323300,5.489900,19.288099,1,8228,8228,1,0,closed
5.123086,0,2,4,0,0,16.667002,3.242800,5.328900,14.246900,1,8228,8228,1,0,closed
5.139775,0,2,4,0,0,16.666901,3.699100,5.940800,16.408600,1,8228,8228,1,0,closed
5.156450,0,2,4,0,0,16.666800,3.633500,4.777400,16.693199,1,8228,8228,1,0,closed
5.173103,0,2,4,0,0,16.666698,2.809400,5.166600,16.761900,1,8228,8228,1,0,closed
5.189808,0,2,4,0,0,16.666702,2.864500,4.772200,16.686100,1,8228,8228,1,0,closed
5.206494,0,2,4,0,0,16.666800,3.083900,5.709800,16.580601,1,8228,8228,1,0,closed
5.223129,0,2,4,0,0,16.667097,3.114900,4.870400,16.623600,1,8228,8228,1,0,closed
5.239759,0,2,4,0,0,16.666800,2.885600,5.079200,16.677900,1,8228,8228,1,0,closed
5.257168,0,2,4,0,0,17.171900,2.731000,3.884300,16.613400,1,8228,8228,1,0,closed
5.273605,0,2,4,0,0,16.666698,2.674000,3.537700,17.323000,1,8228,8228,1,0,closed
5.290284,0,2,4,0,0,16.667002,2.287600,3.844900,16.389099,1,8228,8228,1,0,closed
5.306871,0,2,4,0,0,16.666698,2.471900,3.165100,16.668699,1,8228,8228,1,0,closed
5.324093,0,2,4,0,0,16.666901,2.339200,2.924100,16.527399,1,8227,8227,1,0,closed
5.340202,0,2,4,0,0,16.667002,2.627800,4.125900,17.540100,1,8227,8227,1,0,closed
5.356890,0,2,4,0,0,16.666800,2.246300,3.354700,15.754200,1,8227,8227,1,0,closed
5.373612,0,2,4,0,0,16.666800,1.963500,3.298200,16.781300,1,8227,8227,1,0,closed
5.390205,0,2,4,0,0,16.666901,2.206700,3.522600,16.777201,1,8227,8227,1,0,closed
5.406971,0,2,4,0,0,16.666901,2.289600,4.842000,16.552999,1,8227,8227,1,0,closed
5.423785,0,2,4,0,0,16.666800,2.675700,7.538200,16.775200,1,8227,8227,1,0,closed
5.442293,1,2,4,48,8,16.666698,3.296300,4.168900,17.143801,1,29982,29982,1,8,closed
5.462396,1,2,6,48,8,22.167101,22.615601,4.168900,17.143801,1,29982,29982,1,8,closed
5.479199,1,2,6,48,8,16.666800,2.120800,4.765600,7.229400,1,29982,29982,1,8,closed
5.495745,1,2,6,48,8,16.667002,2.767200,4.522000,11.958300,1,29982,29982,1,8,closed
5.512556,1,2,6,48,8,16.666897,2.134200,3.400200,16.420799,1,29982,29982,1,8,closed
5.529079,1,2,6,48,8,16.666800,2.249200,4.039800,16.751699,1,29982,29982,1,8,closed
5.545955,1,2,6,48,8,16.666702,2.126700,4.534900,16.505800,1,29982,29982,1,8,closed
5.562558,1,2,6,48,8,16.666998,2.585200,6.151200,17.147900,1,29982,29982,1,8,closed
5.579160,1,2,6,48,8,16.666901,2.009500,4.227800,16.308201,1,29982,29982,1,8,closed
5.597845,1,2,6,47,8,16.666800,2.250100,5.900500,16.719900,1,37150,37150,1,8,closed
5.612741,1,2,5,47,8,16.683102,7.527300,4.563100,21.919800,1,37150,37150,1,8,closed
5.629149,1,2,5,47,8,16.666698,2.400200,5.320900,11.879400,1,37150,37150,1,8,closed
5.645933,1,2,5,47,8,16.667002,2.377600,4.053600,16.208900,1,37150,37150,1,8,closed
5.662438,1,2,5,47,8,16.667002,2.275100,4.334600,17.777599,1,37150,37150,1,8,closed
5.679301,1,2,5,47,8,16.666901,2.385200,4.854400,15.450200,1,37150,37150,1,8,closed
5.695798,1,2,5,47,8,16.667097,2.902700,5.803500,17.010599,1,37150,37150,1,8,closed
5.716511,1,2,5,47,8,16.689899,2.468900,4.670800,16.575500,1,38460,38460,1,8,closed
5.729186,1,2,5,47,8,16.666901,6.967200,5.273700,21.225500,1,38460,38460,1,8,closed
5.745891,1,2,5,47,8,16.666698,2.614700,6.102100,11.946000,1,38460,38460,1,8,closed
5.832300,1,2,5,47,8,86.100403,2.500400,0.301100,16.666599,1,38460,38460,1,8,closed
5.848611,1,2,5,47,8,16.666800,72.258003,7.506100,87.362602,1,38460,38460,1,8,closed
