wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page
5.010831,0,2,4,0,0,16.666800,3.067300,4.650700,16.664600,1,8231,8231,1,0,closed
5.027533,0,2,4,0,0,16.667002,2.651800,4.032400,16.254999,1,8231,8231,1,0,closed
5.044247,0,2,4,0,0,16.666901,2.802500,4.575200,17.381399,1,8231,8231,1,0,closed
5.060860,0,2,4,0,0,16.666901,2.605800,4.416200,16.347099,1,8231,8231,1,0,closed
5.077753,0,2,4,0,0,16.666800,3.807800,3.349900,17.822701,1,8231,8231,1,0,closed
5.094183,0,2,4,0,0,16.666901,2.665700,3.863400,15.514600,1,8231,8231,1,0,closed
5.112588,0,2,4,0,0,16.666998,2.986700,4.694300,16.423000,1,8228,8228,1,0,closed
5.127477,0,2,4,0,0,16.666901,3.774300,3.957400,18.324400,1,8228,8228,1,0,closed
5.144138,0,2,4,0,0,16.666702,2.424200,3.873800,15.149100,1,8228,8228,1,0,closed
5.160857,0,2,4,0,0,16.666998,2.296700,4.972700,16.349199,1,8228,8228,1,0,closed
5.178133,0,2,4,0,0,16.667002,2.371400,4.109400,16.830400,1,8228,8228,1,0,closed
5.194241,0,2,4,0,0,16.666698,3.189600,5.049600,17.490000,1,8228,8228,1,0,closed
5.211151,0,2,4,0,0,16.666901,3.420000,4.619900,16.500700,1,8228,8228,1,0,closed
5.227579,0,2,4,0,0,16.680401,3.389400,5.349400,16.479200,1,8228,8228,1,0,closed
5.244273,0,2,4,0,0,16.666800,3.911300,4.992000,16.406601,1,8228,8228,1,0,closed
5.260888,0,2,4,0,0,16.666800,3.064300,5.727500,16.698299,1,8228,8228,1,0,closed
5.277614,0,2,4,0,0,16.666800,3.150500,4.505100,16.589899,1,8228,8228,1,0,closed
5.294253,0,2,4,0,0,16.667002,2.745600,5.032100,16.612301,1,8228,8228,1,0,closed
5.310924,0,2,4,0,0,16.666901,2.650100,5.537600,16.739300,1,8228,8228,1,0,closed
5.327630,0,2,4,0,0,16.666698,2.753000,4.227900,16.963600,1,8228,8228,1,0,closed
5.344219,0,2,4,0,0,16.666800,2.877900,5.631400,16.604200,1,8228,8228,1,0,closed
5.362997,0,2,4,0,0,16.666698,2.872800,4.572100,16.219101,1,8227,8227,1,0,closed
5.377621,0,2,4,0,0,16.666901,4.476500,4.868300,19.002399,1,8227,8227,1,0,closed
5.394149,0,2,4,0,0,16.666800,2.806600,4.318200,14.496800,1,8227,8227,1,0,closed
5.410841,0,2,4,0,0,16.666698,2.491000,5.057600,16.452600,1,8227,8227,1,0,closed
5.427546,0,2,4,0,0,16.667101,2.476100,4.002600,16.585699,1,8227,8227,1,0,closed
5.444236,0,2,4,0,0,16.666901,2.540300,3.344800,16.991199,1,8227,8227,1,0,closed
5.460900,0,2,4,0,0,16.666698,2.161700,2.904000,16.494600,1,8227,8227,1,0,closed
5.477501,0,2,4,0,0,16.666901,2.660900,3.519900,16.677900,1,8227,8227,1,0,closed
5.497462,1,2,4,48,8,16.666800,2.612900,3.943400,16.567301,1,29982,29982,1,8,closed
