tick,unit,action,ordinal,state,release_tick,window
1,1,1,1,3,6,0
1,2,2,1,3,7,0
1,3,8,1,3,6,0
1,7,5,1,3,7,0
1,1048580,3,1,3,6,0
1,1048581,6,1,3,7,0
1,1048582,7,1,3,6,0
1,1048584,4,1,3,7,0
19,1,9,2,3,24,1
19,1048580,10,2,3,24,1
26,7,12,2,3,32,1
26,1048584,11,2,3,32,1
30,2,13,2,3,36,1
30,3,16,2,3,35,1
30,1048581,14,2,3,36,1
30,1048582,15,2,3,35,1
44,1,19,3,3,49,0
44,1048580,20,3,3,49,0
51,7,22,3,3,57,0
51,1048584,21,3,3,57,0
59,2,23,3,3,65,0
59,1048581,24,3,3,65,0
62,1,27,4,3,67,1
62,1048580,28,4,3,67,1
71,1048582,29,3,3,76,0
80,1,32,5,3,85,0
80,1048580,33,5,3,85,0
90,7,37,4,3,96,1
90,1048584,36,4,3,96,1
91,3,38,3,3,96,0
100,1048582,39,4,3,105,1
103,2,40,4,3,109,1
103,1048581,41,4,3,109,1
113,1,42,6,3,118,1
113,1048580,43,6,3,118,1
115,7,45,5,3,121,0
115,1048584,44,5,3,121,0
120,3,46,4,3,125,1
129,1048582,47,5,3,134,0
131,1,48,7,3,136,0
131,1048580,49,7,3,136,0
132,2,50,5,3,138,0
132,1048581,51,5,3,138,0
140,7,53,6,3,146,1
140,1048584,52,6,3,146,1
149,1,54,8,3,154,1
149,3,56,5,3,154,0
149,1048580,55,8,3,154,1
158,1048582,57,6,3,163,1
161,2,58,6,3,167,1
161,1048581,59,6,3,167,1
165,7,61,7,3,171,0
165,1048584,60,7,3,171,0
167,1,62,9,3,172,0
167,1048580,63,9,3,172,0
178,3,64,6,3,183,1
185,1,65,10,3,190,1
185,1048580,66,10,3,190,1
187,1048582,67,7,3,192,0
190,2,68,7,3,196,0
190,7,70,8,3,196,1
190,1048581,71,7,3,196,0
190,1048584,69,8,3,196,1
203,1,72,11,3,208,0
203,1048580,73,11,3,208,0
207,3,74,7,3,212,0
215,7,76,9,3,221,0
215,1048584,75,9,3,221,0
216,1048582,77,8,3,221,1
219,2,78,8,3,225,1
219,1048581,79,8,3,225,1
228,1,82,12,3,233,1
228,1048580,83,12,3,233,1
240,7,86,10,3,246,1
240,1048584,85,10,3,246,1
246,1,88,13,3,251,0
246,1048580,89,13,3,251,0
248,3,92,8,3,253,1
263,2,93,9,3,269,0
264,1,94,14,3,269,1
264,1048580,95,14,3,269,1
265,7,97,11,3,271,0
265,1048584,96,11,3,271,0
277,3,98,9,3,282,0
282,1,99,15,3,287,0
282,1048580,100,15,3,287,0
283,1048581,101,9,3,289,0
292,2,104,10,3,298,1
300,1,105,16,3,305,1
300,1048580,106,16,3,305,1
304,7,108,12,3,310,1
304,1048584,107,12,3,310,1
306,3,109,10,3,311,1
312,1048581,110,10,3,318,1
321,2,111,11,3,327,0
327,1,112,17,3,332,0
327,1048580,113,17,3,332,0
329,7,115,13,3,335,0
329,1048584,114,13,3,335,0
335,3,116,11,3,340,0
337,1048582,117,9,3,342,0
