mirror_pairs=32 outcome_changes=0 (measured ordering sensitivity, not fairness certification)
tournament seed=1 rounds=29 encounters=125 events=19773 timeouts=27 simulated_ms=1247450 wall_ms=801
tournament seed=2 rounds=28 encounters=121 events=16611 timeouts=12 simulated_ms=1133550 wall_ms=743
tournament seed=3 rounds=32 encounters=136 events=18830 timeouts=13 simulated_ms=1340500 wall_ms=1117
tournament seed=4 rounds=29 encounters=120 events=18092 timeouts=24 simulated_ms=1235000 wall_ms=1156
tournament seed=5 rounds=27 encounters=116 events=16405 timeouts=17 simulated_ms=1101700 wall_ms=946
tournament seed=6 rounds=31 encounters=131 events=18819 timeouts=17 simulated_ms=1284650 wall_ms=1169
tournament seed=7 rounds=28 encounters=124 events=16711 timeouts=8 simulated_ms=1140400 wall_ms=988
tournament seed=8 rounds=32 encounters=124 events=17789 timeouts=17 simulated_ms=1329850 wall_ms=1203
tournament seed=9 rounds=27 encounters=128 events=19095 timeouts=25 simulated_ms=1128900 wall_ms=1079
tournament seed=10 rounds=31 encounters=127 events=19183 timeouts=30 simulated_ms=1349000 wall_ms=1315
tournament seed=11 rounds=33 encounters=131 events=17407 timeouts=10 simulated_ms=1285450 wall_ms=1120
tournament seed=12 rounds=31 encounters=129 events=18773 timeouts=14 simulated_ms=1249750 wall_ms=1198
tournament seed=13 rounds=32 encounters=125 events=20797 timeouts=38 simulated_ms=1339550 wall_ms=1220
tournament seed=14 rounds=28 encounters=117 events=15788 timeouts=16 simulated_ms=1117950 wall_ms=1131
tournament seed=15 rounds=33 encounters=130 events=20530 timeouts=32 simulated_ms=1393300 wall_ms=1342
tournament seed=16 rounds=31 encounters=129 events=19077 timeouts=17 simulated_ms=1227900 wall_ms=1218
tournament seed=17 rounds=28 encounters=121 events=17369 timeouts=16 simulated_ms=1133500 wall_ms=1027
tournament seed=18 rounds=32 encounters=128 events=18704 timeouts=17 simulated_ms=1339950 wall_ms=1239
tournament seed=19 rounds=27 encounters=120 events=18246 timeouts=27 simulated_ms=1177950 wall_ms=1066
tournament seed=20 rounds=29 encounters=123 events=17591 timeouts=13 simulated_ms=1167200 wall_ms=1073
tournament seed=21 rounds=33 encounters=126 events=18124 timeouts=24 simulated_ms=1369400 wall_ms=1190
tournament seed=22 rounds=34 encounters=130 events=17146 timeouts=7 simulated_ms=1363800 wall_ms=1194
tournament seed=23 rounds=31 encounters=124 events=17652 timeouts=25 simulated_ms=1310350 wall_ms=1112
tournament seed=24 rounds=29 encounters=121 events=18569 timeouts=26 simulated_ms=1174500 wall_ms=1067
tournament seed=25 rounds=38 encounters=128 events=17737 timeouts=15 simulated_ms=1551900 wall_ms=1389
tournament seed=26 rounds=28 encounters=124 events=17724 timeouts=14 simulated_ms=1173600 wall_ms=1136
tournament seed=27 rounds=32 encounters=131 events=18047 timeouts=16 simulated_ms=1294050 wall_ms=1236
tournament seed=28 rounds=28 encounters=126 events=17358 timeouts=20 simulated_ms=1189200 wall_ms=1260
tournament seed=29 rounds=31 encounters=133 events=19588 timeouts=19 simulated_ms=1304500 wall_ms=1299
tournament seed=30 rounds=34 encounters=141 events=20093 timeouts=21 simulated_ms=1424600 wall_ms=1520
tournament seed=31 rounds=29 encounters=124 events=17331 timeouts=18 simulated_ms=1196150 wall_ms=1281
tournament seed=32 rounds=29 encounters=131 events=19635 timeouts=22 simulated_ms=1201050 wall_ms=1401
tournament seed=33 rounds=31 encounters=121 events=17213 timeouts=16 simulated_ms=1293000 wall_ms=1438
tournament seed=34 rounds=33 encounters=132 events=18674 timeouts=14 simulated_ms=1308900 wall_ms=1480
tournament seed=35 rounds=36 encounters=135 events=17637 timeouts=4 simulated_ms=1351150 wall_ms=1458
tournament seed=36 rounds=30 encounters=132 events=18659 timeouts=18 simulated_ms=1254600 wall_ms=1396
tournament seed=37 rounds=29 encounters=123 events=17802 timeouts=17 simulated_ms=1202800 wall_ms=1419
tournament seed=38 rounds=28 encounters=125 events=20232 timeouts=34 simulated_ms=1217450 wall_ms=1359
tournament seed=39 rounds=27 encounters=118 events=17347 timeouts=25 simulated_ms=1131900 wall_ms=1264
tournament seed=40 rounds=30 encounters=127 events=18078 timeouts=17 simulated_ms=1254500 wall_ms=1389
tournament seed=41 rounds=33 encounters=123 events=16060 timeouts=8 simulated_ms=1310200 wall_ms=1294
tournament seed=42 rounds=33 encounters=123 events=16870 timeouts=13 simulated_ms=1284400 wall_ms=1295
tournament seed=43 rounds=31 encounters=117 events=17097 timeouts=18 simulated_ms=1275200 wall_ms=1164
tournament seed=44 rounds=28 encounters=121 events=17873 timeouts=19 simulated_ms=1159800 wall_ms=1187
tournament seed=45 rounds=29 encounters=115 events=15405 timeouts=13 simulated_ms=1183250 wall_ms=1151
tournament seed=46 rounds=31 encounters=122 events=17051 timeouts=11 simulated_ms=1244700 wall_ms=1247
tournament seed=47 rounds=33 encounters=129 events=19932 timeouts=22 simulated_ms=1394100 wall_ms=1358
tournament seed=48 rounds=40 encounters=138 events=18328 timeouts=10 simulated_ms=1574600 wall_ms=1540
tournament seed=49 rounds=33 encounters=127 events=18361 timeouts=23 simulated_ms=1355550 wall_ms=1288
tournament seed=50 rounds=30 encounters=124 events=15634 timeouts=5 simulated_ms=1150950 wall_ms=1117
tournament seed=51 rounds=29 encounters=118 events=15417 timeouts=8 simulated_ms=1110250 wall_ms=1133
tournament seed=52 rounds=29 encounters=124 events=18154 timeouts=23 simulated_ms=1228100 wall_ms=1308
tournament seed=53 rounds=32 encounters=133 events=18302 timeouts=13 simulated_ms=1298850 wall_ms=1471
tournament seed=54 rounds=27 encounters=119 events=17123 timeouts=16 simulated_ms=1139650 wall_ms=2279
tournament seed=55 rounds=30 encounters=121 events=17642 timeouts=26 simulated_ms=1216850 wall_ms=1473
tournament seed=56 rounds=34 encounters=124 events=18837 timeouts=23 simulated_ms=1426950 wall_ms=1500
tournament seed=57 rounds=32 encounters=129 events=18721 timeouts=21 simulated_ms=1334100 wall_ms=1484
tournament seed=58 rounds=26 encounters=122 events=17840 timeouts=20 simulated_ms=1069450 wall_ms=1976
tournament seed=59 rounds=33 encounters=135 events=21148 timeouts=33 simulated_ms=1420250 wall_ms=4879
tournament seed=60 rounds=29 encounters=127 events=18325 timeouts=18 simulated_ms=1218250 wall_ms=2999
tournament seed=61 rounds=29 encounters=121 events=17676 timeouts=21 simulated_ms=1213950 wall_ms=1683
