wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.002023,1,3,5,41,1,16.666698,2.833300,4.850500,16.571400,1,49714,49714,1,1,closed,503
5.018876,1,3,5,41,1,16.666901,2.347200,3.943800,16.434200,1,49714,49714,1,1,closed,504
5.035431,1,3,5,41,1,16.666800,2.705000,4.224100,17.006599,1,49714,49714,1,1,closed,505
5.052167,1,3,5,41,1,16.666800,2.872600,5.067600,16.334801,1,49714,49714,1,1,closed,506
5.069578,0,4,5,0,0,16.666698,2.417900,4.365700,16.813101,1,7856,7856,0,0,closed,507
5.095103,0,4,5,0,0,26.387199,23.626499,4.365700,16.813101,1,7856,7856,0,0,closed,508
5.111941,0,4,5,0,0,16.666800,6.918000,6.316500,9.375700,1,7856,7856,0,0,closed,509
5.128408,0,4,5,0,0,16.666901,3.074800,4.625700,10.425300,1,7856,7856,0,0,closed,510
5.145360,0,4,5,0,0,16.666901,2.686400,4.157600,15.650900,1,7856,7856,0,0,closed,511
5.163101,0,4,5,0,0,16.666698,3.643500,4.719200,17.996799,1,7856,7856,0,0,closed,512
5.179107,0,4,5,0,0,16.666702,4.062300,4.431000,17.124300,1,7925,7925,0,0,closed,513
5.195139,0,4,5,0,0,16.666897,3.452100,4.841600,15.956000,1,7925,7925,0,0,closed,514
5.211963,0,4,5,0,0,16.667002,2.826200,4.374300,15.800300,1,7925,7925,0,0,closed,515
5.228513,0,4,5,0,0,16.667002,2.626400,3.850500,16.811001,1,7925,7925,0,0,closed,516
5.245212,0,4,5,0,0,16.666800,2.251600,4.631000,16.563200,1,7925,7925,0,0,closed,517
5.261928,0,4,5,0,0,16.666698,2.216600,2.949400,16.710699,1,7925,7925,0,0,closed,518
5.278531,0,4,5,0,0,16.666698,2.166400,3.757200,17.115101,1,7925,7925,0,0,closed,519
5.295028,0,4,5,0,0,16.666901,2.400800,4.086700,16.068600,1,7925,7925,0,0,closed,520
5.311842,0,4,5,0,0,16.667002,2.300300,2.963500,16.395300,1,7925,7925,0,0,closed,521
5.329357,0,4,5,0,0,16.668100,2.124700,4.397400,17.157101,1,7997,7997,0,0,closed,522
5.346506,0,4,5,0,0,16.666901,4.584000,6.305300,18.675699,1,7997,7997,0,0,closed,523
5.361823,0,4,5,0,0,16.666800,4.975500,5.941200,15.950900,1,7997,7997,0,0,closed,524
5.378477,0,4,5,0,0,16.667002,4.055000,4.555100,16.266199,1,7997,7997,0,0,closed,525
5.447973,0,4,5,0,0,69.490700,3.240300,0.291400,16.266199,1,7997,7997,0,0,closed,526
5.464642,0,4,5,0,0,16.666897,56.872002,4.059000,70.268898,1,7997,7997,0,0,closed,527
5.481188,0,4,5,0,0,16.666803,2.292100,2.862400,14.639100,1,7997,7997,0,0,closed,528
5.497976,0,4,5,0,0,16.666800,1.881100,2.702100,16.605200,1,7997,7997,0,0,closed,529
5.514742,0,4,5,0,0,16.666800,2.274900,4.033900,16.845800,1,7997,7997,0,0,closed,530
5.532105,0,4,5,0,0,16.666698,2.710100,3.861000,17.297400,1,7997,7997,0,0,closed,531
5.548005,0,4,5,0,0,16.666800,2.737700,3.470500,16.643101,1,7997,7997,0,0,closed,532
5.565302,0,4,5,0,0,16.666901,2.074800,3.911900,16.321501,1,8069,8069,0,0,closed,533
5.581520,0,4,6,0,0,16.666800,3.634200,3.258100,17.545300,1,8069,8069,0,0,closed,534
5.598138,0,4,6,0,0,16.714397,2.535300,3.430300,15.817700,1,8069,8069,0,0,closed,535
5.614632,0,4,6,0,0,16.666803,3.258900,3.668200,17.462299,1,8069,8069,0,0,closed,536
5.631238,0,4,6,0,0,16.666897,2.307800,3.572900,15.989700,1,8069,8069,0,0,closed,537
5.647915,0,4,6,0,0,16.666901,2.263400,3.228800,16.149500,1,8069,8069,0,0,closed,538
5.664719,0,4,6,0,0,16.666702,1.805200,3.171100,16.561199,1,8069,8069,0,0,closed,539
5.681455,0,4,6,0,0,16.719799,2.142400,3.880100,17.385500,1,8069,8069,0,0,closed,540
5.697970,0,4,6,0,0,16.666901,2.450900,3.311100,16.472000,1,8069,8069,0,0,closed,541
5.715724,0,4,6,0,0,16.667799,2.946200,4.240400,17.069099,1,8069,8069,0,0,closed,542
5.731545,0,4,6,0,0,16.666800,3.205200,3.676900,16.969700,1,8069,8069,0,0,closed,543
5.748067,0,4,6,0,0,16.666698,2.463100,2.795100,15.760400,1,8069,8069,0,0,closed,544
5.764680,0,4,6,0,0,16.666901,2.185300,4.008700,16.714701,1,8069,8069,0,0,closed,545
5.781302,0,4,6,0,0,16.666800,2.217200,3.241700,16.440399,1,8069,8069,0,0,closed,546
5.798858,0,4,6,0,0,16.667002,1.886200,8.602600,16.590799,1,8068,8068,0,0,closed,547
5.814826,0,4,6,0,0,16.666800,3.250600,3.684200,17.652700,1,8068,8068,0,0,closed,548
5.831428,0,4,6,0,0,16.666800,2.437200,3.842500,16.339001,1,8068,8068,0,0,closed,549
5.848073,0,4,6,0,0,16.666698,2.991900,2.824000,16.101400,1,8068,8068,0,0,closed,550
5.864686,0,4,6,0,0,16.666800,1.883200,4.273300,16.737200,1,8068,8068,0,0,closed,551
5.881685,0,4,6,0,0,16.666702,2.027000,2.979600,16.559099,1,8068,8068,0,0,closed,552
5.898788,0,4,6,0,0,16.666901,3.151800,3.901300,18.079800,1,8068,8068,0,0,closed,553
5.914714,0,4,6,0,0,16.666800,3.247800,4.690900,16.296900,1,8068,8068,0,0,closed,554
5.931715,0,4,6,0,0,16.666998,2.760500,5.070000,16.231501,1,8068,8068,0,0,closed,555
5.947989,0,4,6,0,0,16.666901,2.744600,2.842400,16.481300,1,8068,8068,0,0,closed,556
5.966684,1,4,6,42,4,16.666698,1.734800,2.853200,16.156601,1,36365,36365,0,0,closed,557
5.994509,1,4,12,42,4,29.821302,28.458900,2.853200,16.156601,1,36365,36365,0,0,closed,558
6.011454,1,4,12,42,4,16.675297,3.381000,4.486100,11.130900,1,36365,36365,0,0,closed,559
6.028171,1,4,12,42,4,16.666901,3.024500,5.875000,8.672300,1,36365,36365,0,0,closed,560
6.044510,1,4,12,42,4,16.666702,3.893100,4.285800,17.911800,1,36365,36365,0,0,closed,561
6.062273,1,4,12,42,4,16.666698,2.200500,3.915200,14.925800,1,36365,36365,0,0,closed,562
6.077905,1,4,12,42,4,16.666800,4.417600,5.004900,19.127300,1,36365,36365,0,0,closed,563
6.094816,1,4,12,42,4,16.666698,3.307900,4.417800,14.942200,1,36365,36365,0,0,closed,564
6.111405,1,4,12,42,4,16.667002,2.579300,4.043300,16.562201,1,36365,36365,0,0,closed,565
6.127880,1,4,12,42,4,16.666800,6.835900,5.018800,21.551100,1,36365,36365,0,0,closed,566
6.144670,1,4,12,42,4,16.666800,2.376600,4.275300,11.270100,1,36365,36365,0,0,closed,567
6.163901,1,4,12,42,4,16.667002,2.464000,3.811300,16.775200,1,39583,39583,0,0,closed,568
6.178048,1,4,12,42,4,16.669300,5.622800,4.936500,20.072500,1,39583,39583,0,0,closed,569
6.250856,1,4,12,42,4,73.010101,3.934000,0.250600,17.927099,1,39583,39583,0,0,closed,570
6.323275,1,4,12,42,4,71.922104,57.880699,0.265600,17.927099,1,39583,39583,0,0,closed,571
6.408420,1,4,12,42,4,85.339798,56.938000,0.268200,68.989998,1,39583,39583,0,0,closed,572
6.429059,1,4,12,38,4,16.666698,63.100201,6.274600,86.664200,1,43661,43661,0,0,closed,573
6.442298,1,4,11,38,4,17.232601,9.878900,7.811300,86.664200,1,43661,43661,0,0,closed,574
6.459065,1,4,11,38,4,16.706001,3.506800,7.366100,16.236601,1,43661,43661,0,0,closed,575
6.475691,1,4,11,38,4,16.666901,3.984800,5.594700,11.257800,1,43661,43661,0,0,closed,576
6.492486,1,4,11,38,4,16.670898,3.912700,5.757200,17.505301,1,43661,43661,0,0,closed,577
6.509104,1,4,11,38,4,16.667002,3.839000,5.431800,15.914000,1,43661,43661,0,0,closed,578
6.525710,1,4,11,38,4,16.666901,3.127400,5.565100,16.017401,1,43661,43661,0,0,closed,579
6.542169,1,4,11,38,4,16.666698,3.423800,5.778000,16.828400,1,43661,43661,0,0,closed,580
