wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.018147,1,3,6,41,1,16.676304,2.998500,5.122500,16.505800,1,49714,49714,1,1,closed,776
5.033411,1,3,6,41,1,16.666998,4.689400,4.916300,18.089001,1,49714,49714,1,1,closed,777
5.052321,0,4,6,0,0,16.667002,3.306000,4.649800,15.586300,1,7856,7856,0,0,closed,778
5.076579,0,4,5,0,0,26.150200,25.221201,4.649800,15.586300,1,7856,7856,0,0,closed,779
5.093165,0,4,5,0,0,16.666901,4.423500,5.822600,9.303000,1,7856,7856,0,0,closed,780
5.109356,0,4,5,0,0,16.666901,6.596300,6.012400,13.947900,1,7856,7856,0,0,closed,781
5.127881,0,4,5,0,0,16.714901,3.161400,4.403200,14.938100,1,7856,7856,0,0,closed,782
5.142890,0,4,5,0,0,16.666901,4.474300,3.402300,17.150999,1,7856,7856,0,0,closed,783
5.160573,0,4,5,0,0,16.666998,2.673200,3.854000,15.228900,1,7856,7856,0,0,closed,784
5.176024,0,4,5,0,0,16.666800,4.079300,5.730500,17.872900,1,7856,7856,0,0,closed,785
5.193546,0,4,5,0,0,16.666800,4.369100,5.248900,16.546900,1,7856,7856,0,0,closed,786
5.209468,0,4,5,0,0,16.666800,3.948300,6.891700,16.649200,1,7856,7856,0,0,closed,787
5.226226,0,4,5,0,0,16.666803,3.545300,6.985100,16.012300,1,7856,7856,0,0,closed,788
5.242699,0,4,5,0,0,16.666698,3.222900,4.004600,16.214001,1,7856,7856,0,0,closed,789
5.260847,0,4,5,0,0,16.666800,5.322000,6.031300,18.618401,1,7925,7925,0,0,closed,790
5.276064,0,4,5,0,0,16.667097,5.487100,5.160200,15.514600,1,7925,7925,0,0,closed,791
5.292734,0,4,5,0,0,16.666901,2.306900,3.503200,15.554500,1,7925,7925,0,0,closed,792
5.310500,0,4,5,0,0,16.667002,2.208800,3.582300,16.634899,1,7924,7924,0,0,closed,793
5.326061,0,4,5,0,0,16.666800,3.202100,3.658100,17.617901,1,7924,7924,0,0,closed,794
5.342775,0,4,5,0,0,16.666901,2.094500,3.056500,15.518800,1,7924,7924,0,0,closed,795
5.359337,0,4,5,0,0,16.667002,2.145800,4.496100,17.237000,1,7924,7924,0,0,closed,796
5.426170,0,4,5,0,0,66.796898,2.512800,0.257000,17.237000,1,7924,7924,0,0,closed,797
5.444238,0,4,5,0,0,16.731199,55.562801,4.119500,68.770798,1,7997,7997,0,0,closed,798
5.460052,0,4,6,0,0,16.793203,5.459600,7.774400,16.816099,1,7997,7997,0,0,closed,799
5.476473,0,4,6,0,0,16.666800,3.813200,5.714600,15.146000,1,7997,7997,0,0,closed,800
5.493129,0,4,6,0,0,16.666800,3.204800,4.966200,16.962601,1,7997,7997,0,0,closed,801
5.509716,0,4,6,0,0,16.666698,4.486600,6.188600,15.801300,1,7997,7997,0,0,closed,802
5.526391,0,4,6,0,0,16.666800,2.829900,4.163500,16.280600,1,7997,7997,0,0,closed,803
