seed,round,seat,observation_revision,action,score,deployment_gain,upgrade_gain,trait_gain,role_gain,pair_gain,gold_spent,interest_loss,bench_pressure,accepted,gold_after
1,1,0,1,buy,2.42158,0.61981,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,1,1,buy,2.33857,0.577169,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,2,1,buy,2.42907,0.61981,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,3,1,buy,3.17471,0.85527,0,0,0.6,0.166667,0.2,0.333333,0.125,1,8
1,1,4,1,buy,2.09918,0.49692,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,5,1,buy,2.16318,0.567447,0,0,0.6,0.166667,0.2,0.333333,0.125,1,8
1,1,6,1,buy,2.383,0.596304,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,7,1,buy,2.39057,0.61981,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,0,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,1,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,2,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,3,1,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,4,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,5,1,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,6,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,7,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,0,1,buy,1.558,0.396,0,0,0.3,0.166667,0.1,0,0.125,1,8
1,1,1,1,buy,2.36995,0.572834,0,0.166667,0.3,0.166667,0.2,0,0.125,1,7
1,1,2,1,buy,1.88886,0.432663,0,0.166667,0.3,0.166667,0.2,0,0.125,1,7
1,1,3,1,buy,2.17834,0.65182,0,0.166667,0,0.166667,0.1,0,0.125,1,7
1,1,4,1,buy,1.85745,0.497504,0,0,0.3,0.166667,0.2,0,0.125,1,7
1,1,5,1,buy,1.76379,0.497504,0,0,0.3,0.166667,0.2,0,0.125,1,6
1,1,6,1,buy,1.88026,0.596304,0,0,0,0.166667,0.1,0,0.125,1,8
1,1,7,1,buy,1.98544,0.547255,0,0,0.3,0.166667,0.2,0,0.125,1,7
1,1,0,2,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,1,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,2,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,3,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,4,2,deploy,1,0,0,0,0,0,0,0,0,1,7
