seed,original_winner,swapped_winner,original_ticks,swapped_ticks,team_outcome_changed
1,1,0,337,505,0
2,1,0,483,305,0
3,1,0,430,339,0
4,1,0,399,400,0
5,1,0,451,425,0
6,1,0,386,403,0
7,1,0,376,437,0
8,1,0,376,302,0
9,1,0,338,337,0
10,1,0,376,548,0
11,1,0,432,515,0
12,1,0,387,370,0
13,1,0,357,316,0
14,1,0,355,457,0
15,1,0,450,356,0
16,1,0,344,445,0
17,1,0,457,307,0
18,1,0,361,397,0
19,1,0,457,399,0
20,1,0,398,351,0
21,1,0,341,312,0
22,1,0,451,383,0
23,1,0,385,490,0
24,1,0,445,437,0
25,1,0,443,464,0
26,1,0,427,311,0
27,1,0,430,311,0
28,1,0,361,463,0
29,1,0,420,361,0
30,1,0,407,398,0
31,1,0,450,307,0
32,1,0,359,349,0
