seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,29,1247450,905,1,27,125,19773,759,0,8,16666949517274076239,70000,509750
2,28,1133550,830,1,12,121,16611,765,0,8,7831681968272514210,61300,558600
3,32,1340500,1149,1,13,136,18830,908,0,8,4074267664068202119,70400,212850
4,29,1235000,974,1,24,120,18092,809,0,2,12581196876300217140,65200,739300
5,27,1101700,817,1,17,116,16405,727,0,3,8588068731899318824,59800,373600
6,31,1284650,891,1,17,131,18819,809,0,2,14341577887201918826,69250,358500
7,28,1140400,843,1,8,124,16711,828,0,4,3912267651124921253,63450,396650
8,32,1329850,926,1,17,124,17789,792,0,7,14473564884320809891,71550,401250
9,27,1128900,880,1,25,128,19095,781,0,3,12710250740109182689,73100,433650
10,31,1349000,919,1,30,127,19183,863,0,7,15248733418848993267,71600,497450
11,33,1285450,886,1,10,131,17407,836,0,3,9691197068064010574,68700,341800
12,31,1249750,878,1,14,129,18773,779,0,5,6811316194431882243,65950,517100
13,32,1339550,868,1,38,125,20797,779,0,5,3919018788032786044,64250,642850
14,28,1117950,762,1,16,117,15788,742,0,6,13959138019906613653,59300,249200
15,33,1393300,923,1,32,130,20530,848,0,4,18263312931100993819,69150,550200
16,31,1227900,839,1,17,129,19077,850,0,4,14530589598027990554,67350,699350
17,28,1133500,769,1,16,121,17369,770,0,6,18380280492977622195,63750,408450
18,32,1339950,941,1,17,128,18704,800,0,7,119434329059705969,65300,200150
19,27,1177950,856,1,27,120,18246,850,0,2,17111509295958881709,63100,547300
20,29,1167200,915,1,13,123,17591,771,0,7,16709434225784669040,62650,210750
21,33,1369400,1010,1,24,126,18124,780,0,7,10838324276322471492,64650,341050
22,34,1363800,945,1,7,130,17146,810,0,5,2403594234497890797,67650,232300
23,31,1310350,866,1,25,124,17652,800,0,5,15549271391813451026,65150,396200
24,29,1174500,791,1,26,121,18569,690,0,3,18277922928720482402,63800,491350
25,38,1551900,978,1,15,128,17737,887,0,2,6128228612159762163,68600,261250
26,28,1173600,817,1,14,124,17724,835,0,4,6105038377699000101,63200,280650
27,32,1294050,912,1,16,131,18047,801,0,8,15317864772148177160,70300,415000
28,28,1189200,848,1,20,126,17358,922,0,6,4445852680655414146,64650,591050
29,31,1304500,862,1,19,133,19588,852,0,12,328099984773439121,68950,772050
30,34,1424600,963,1,21,141,20093,827,0,10,17847924427110213676,73100,524300
31,29,1196150,808,1,18,124,17331,858,0,5,7641192220074423007,64900,357900
32,29,1201050,851,1,22,131,19635,803,0,8,1811973069042474259,67450,475750
33,31,1293000,876,1,16,121,17213,770,0,1,13552353822446467949,61350,444350
34,33,1308900,856,1,14,132,18674,756,0,8,14240471802037668334,70600,258850
35,36,1351150,884,1,4,135,17637,780,0,11,2311555579740889379,70100,429800
36,30,1254600,861,1,18,132,18659,808,0,5,3737366999235762883,67700,505500
37,29,1202800,822,1,17,123,17802,800,0,4,2984533962945753957,62500,413150
38,28,1217450,809,1,34,125,20232,828,0,6,16702250143619938917,63750,579850
39,27,1131900,731,1,25,118,17347,745,0,4,12590531832243066650,59850,208200
40,30,1254500,807,1,17,127,18078,879,0,6,17915621189766759646,65650,427500
41,33,1310200,798,1,8,123,16060,833,0,5,12590625545946725230,63150,242350
42,33,1284400,811,1,13,123,16870,723,0,5,13312586534765283201,66450,398000
43,31,1275200,806,1,18,117,17097,759,0,2,13987198682855767519,61400,513300
44,28,1159800,756,1,19,121,17873,756,0,8,11200741372913523063,62350,502550
45,29,1183250,747,1,13,115,15405,813,0,3,8863612293244048794,61550,489250
46,31,1244700,805,1,11,122,17051,850,0,1,13749980884435752635,63100,363350
47,33,1394100,877,1,22,129,19932,807,0,7,11227260886630152839,66050,343550
48,40,1574600,1078,1,10,138,18328,833,0,6,13892296112253137012,71300,310450
49,33,1355550,904,1,23,127,18361,767,0,6,16491590156321246342,65800,624400
50,30,1150950,817,1,5,124,15634,847,0,4,17257255266778216136,75250,395000
51,29,1110250,747,1,8,118,15417,785,0,2,13571371905998464152,59650,250600
52,29,1228100,930,1,23,124,18154,813,0,7,3570001091861463419,63900,444650
53,32,1298850,910,1,13,133,18302,795,0,3,473926725320501782,69200,535400
54,27,1139650,867,1,16,119,17123,867,0,3,12469917677631435074,60950,312300
55,30,1216850,890,1,26,121,17642,722,0,3,13468284700228981695,63400,480100
56,34,1426950,1029,1,23,124,18837,801,0,4,5751341488484371209,63600,465950
57,32,1334100,994,1,21,129,18721,742,0,10,5229798002713815380,67400,448050
58,26,1069450,868,1,20,122,17840,791,0,5,14036538693939719806,63000,565450
59,33,1420250,1220,1,33,135,21148,895,0,10,296420242100095308,69450,601700
60,29,1218250,1291,1,18,127,18325,936,0,6,10830942503093009746,64800,387100
61,29,1213950,1281,1,21,121,17676,824,0,4,5383476235536141614,62600,681600
62,28,1221850,1394,1,36,127,20722,914,0,4,10571386427239262822,64800,590200
63,28,1197950,1322,1,28,125,18849,880,0,5,3130125345723484124,72850,295750
64,27,1152150,1217,1,13,125,17761,868,0,7,17559097523191127424,64350,378200
65,29,1177000,1303,1,17,124,18290,869,0,7,3462397934778095277,64550,497500
66,27,1054300,1066,1,13,116,15797,742,0,0,5385279921535724084,58400,219000
67,33,1360500,1378,1,12,131,18419,806,0,6,9563212754100606607,67400,510600
68,37,1525000,1451,1,14,132,19010,853,0,9,5017339516446976768,72550,634100
69,37,1499950,1342,1,9,131,17473,967,0,3,17502295206182024948,68550,190150
70,36,1448350,1347,1,9,129,17802,854,0,1,3176375738280756788,66150,722900
71,28,1114700,1080,1,16,117,16196,722,0,1,14863078607301497920,59450,382900
72,29,1202500,1108,1,25,124,18864,763,0,6,14276476255171513908,83650,641500
73,32,1325950,1141,1,16,126,17850,854,0,1,797604018780913398,66400,393350
74,33,1220100,1088,1,2,126,15895,763,0,6,7941158488393546918,64650,101450
75,31,1298000,1330,1,25,124,18772,734,0,6,163829381200474894,64950,601850
76,34,1364750,1301,1,11,132,17567,761,0,5,13698541488009932741,69000,221100
77,32,1364050,1330,1,20,126,18436,767,0,6,10536200457095122750,65850,401950
78,30,1285800,1239,1,24,121,19411,783,0,6,15224059023767203089,61200,769900
79,33,1367500,1396,1,20,126,18909,787,0,3,2119083574454850078,65800,478950
80,29,1109000,1130,1,7,119,15589,789,0,8,10756819688667910555,62200,202600
81,32,1353050,1300,1,33,132,20327,792,0,4,12267898370564971396,67650,507350
82,31,1308550,1274,1,26,130,20332,791,0,5,15737440013999133510,67750,300650
83,29,1134150,1237,1,7,119,15062,816,0,3,13352891977681288343,59950,200850
84,33,1335650,1317,1,17,126,17333,820,0,4,4679054614639656112,69950,269900
85,32,1302250,1297,1,24,138,20263,802,0,10,6760931313836180856,70900,370700
86,31,1314650,1316,1,35,133,21529,857,0,7,2796155312545329344,69500,693600
87,36,1425950,1377,1,16,138,19434,747,0,5,10412619545159891525,70950,210850
88,31,1244350,1229,1,15,124,17398,774,0,4,8618226590282939198,66150,532950
89,29,1237050,1257,1,26,121,19191,780,0,5,11580597224280459332,61500,460050
90,29,1245700,1248,1,18,121,17934,775,0,5,2089441623981433688,61900,567550
91,32,1294400,1346,1,17,121,17213,848,0,4,13799383361462105044,62200,272550
92,32,1306550,1313,1,17,127,17733,819,0,6,5469084488094873527,65150,316550
93,34,1309600,1191,1,7,130,17147,830,0,9,11500584555217319201,66800,275850
94,28,1103100,1515,1,8,116,15788,741,0,5,5728092862581698653,59800,319400
95,32,1311650,2301,1,25,136,20627,814,0,11,12843225429353278735,71000,622600
96,27,1134700,1374,1,23,118,17857,768,0,4,11274556263309241931,59700,411950
97,33,1380650,1891,1,29,130,20357,811,0,8,7393788488764532156,68200,433200
98,32,1336400,1435,1,20,128,18077,800,0,3,14141514890703541493,66200,558900
99,34,1392000,1482,1,14,128,18510,889,0,3,12941266359564633651,66800,392050
100,34,1417550,1455,1,24,131,19784,753,0,4,11465566481368712202,69550,564950
