wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.010632,0,1,4,0,0,16.666800,1.818300,3.814900,17.087500,1,5111,5111,1,0,closed,482
5.027267,0,1,4,0,0,16.666698,2.370900,3.293800,16.520100,1,5111,5111,1,0,closed,483
5.044075,0,1,4,0,0,16.666901,2.325900,3.620700,17.024000,1,5111,5111,1,0,closed,484
5.060561,0,1,4,0,0,16.666702,2.050500,3.317300,16.447500,1,5111,5111,1,0,closed,485
5.077297,0,1,4,0,0,16.667097,3.169900,2.595800,17.513500,1,5111,5111,1,0,closed,486
5.093910,0,1,4,0,0,16.666800,1.735200,3.275300,16.396299,1,5111,5111,1,0,closed,487
5.110647,0,1,4,0,0,16.666901,1.616400,2.802400,15.775700,1,5111,5111,1,0,closed,488
5.127332,0,1,4,0,0,16.666800,1.665100,2.635700,16.705601,1,5111,5111,1,0,closed,489
5.144050,0,1,4,0,0,16.666901,1.997200,3.778300,16.880600,1,5111,5111,1,0,closed,490
5.160600,0,1,4,0,0,16.666698,2.369800,3.275500,16.616501,1,5111,5111,1,0,closed,491
5.178271,0,1,4,0,0,16.666901,1.513600,2.946300,16.430099,1,5110,5110,1,0,closed,492
5.193984,0,1,4,0,0,16.666901,2.676800,3.250100,17.861601,1,5110,5110,1,0,closed,493
5.210603,0,1,4,0,0,16.666901,1.719700,3.755900,15.589400,1,5110,5110,1,0,closed,494
5.227341,0,1,4,0,0,16.666901,1.612200,4.516400,17.711100,1,5110,5110,1,0,closed,495
5.243922,0,1,4,0,0,16.666800,1.922300,3.240400,15.771600,1,5110,5110,1,0,closed,496
5.260620,0,1,4,0,0,16.666800,1.928000,2.808600,16.443399,1,5110,5110,1,0,closed,497
5.277289,0,1,4,0,0,16.666698,1.887800,3.151600,16.677900,1,5110,5110,1,0,closed,498
5.294050,0,1,4,0,0,16.666698,1.947400,4.988200,17.788900,1,5110,5110,1,0,closed,499
5.310827,0,1,4,0,0,16.667101,2.342900,3.494200,15.802400,1,5110,5110,1,0,closed,500
5.327413,0,1,4,0,0,16.666800,2.565200,4.003900,17.018900,1,5110,5110,1,0,closed,501
5.343939,0,1,4,0,0,16.666800,2.409900,3.767800,16.314301,1,5110,5110,1,0,closed,502
5.360589,0,1,4,0,0,16.666698,2.161100,3.285800,16.458799,1,5110,5110,1,0,closed,503
5.377444,0,1,4,0,0,16.666901,2.188400,2.626000,16.529400,1,5110,5110,1,0,closed,504
5.393970,0,1,4,0,0,16.666800,1.912600,3.649800,17.271799,1,5110,5110,1,0,closed,505
5.410617,0,1,4,0,0,16.666901,2.086100,3.139800,16.174101,1,5110,5110,1,0,closed,506
5.427885,0,1,4,0,0,16.666901,2.046000,3.740300,16.642000,1,5110,5110,1,0,closed,507
5.444057,0,1,4,0,0,16.666698,2.343600,3.124300,17.275900,1,5110,5110,1,0,closed,508
5.460690,0,1,4,0,0,16.666800,1.778000,3.618400,16.482401,1,5110,5110,1,0,closed,509
5.477247,0,1,4,0,0,16.666702,2.222600,2.674700,16.340900,1,5110,5110,1,0,closed,510
5.494099,0,1,4,0,0,16.666698,1.522800,3.242500,17.785900,1,5110,5110,1,0,closed,511
5.510633,0,1,4,0,0,16.666901,2.140300,3.774300,15.663100,1,5110,5110,1,0,closed,512
5.527328,0,1,4,0,0,16.666800,1.805900,2.946900,16.524300,1,5110,5110,1,0,closed,513
5.544017,0,1,4,0,0,16.666901,2.157900,3.565600,16.753700,1,5110,5110,1,0,closed,514
5.560623,0,1,4,0,0,16.677000,2.315000,3.349100,16.661501,1,5110,5110,1,0,closed,515
5.577270,0,1,4,0,0,16.666901,3.192300,3.568900,17.878000,1,5110,5110,1,0,closed,516
5.594021,0,1,4,0,0,16.666901,1.903500,2.579700,15.284200,1,5110,5110,1,0,closed,517
5.610631,0,1,4,0,0,16.666897,1.931300,3.259100,16.793600,1,5110,5110,1,0,closed,518
5.627282,0,1,4,0,0,16.666702,1.947700,3.343900,16.526300,1,5110,5110,1,0,closed,519
5.644078,0,1,4,0,0,16.674198,1.679900,2.724900,16.665600,1,5110,5110,1,0,closed,520
5.660740,0,1,4,0,0,16.668800,1.885900,4.885500,17.200199,1,5110,5110,1,0,closed,521
5.677968,0,1,4,0,0,16.666800,2.689300,5.085700,16.500700,1,5546,5546,1,0,closed,522
5.693980,0,1,4,0,0,16.666901,3.073800,3.443100,17.794001,1,5546,5546,1,0,closed,523
5.710753,0,1,4,0,0,16.666698,1.858300,2.895300,15.200300,1,5546,5546,1,0,closed,524
5.727324,0,1,4,0,0,16.666901,1.793300,3.289800,17.118200,1,5546,5546,1,0,closed,525
5.743976,0,1,4,0,0,16.666901,2.007700,2.702000,16.292900,1,5546,5546,1,0,closed,526
5.760674,0,1,4,0,0,16.666698,1.957200,3.722300,16.603100,1,5546,5546,1,0,closed,527
5.777390,0,1,4,0,0,16.666800,1.885500,3.012600,16.699400,1,5546,5546,1,0,closed,528
5.794155,0,1,4,0,0,16.667101,2.431900,3.439700,17.350700,1,5546,5546,1,0,closed,529
5.810609,0,1,4,0,0,16.666800,2.447800,2.741900,16.324600,1,5546,5546,1,0,closed,530
5.827386,0,1,4,0,0,16.666901,1.541200,3.141100,16.233400,1,5546,5546,1,0,closed,531
5.843935,0,1,4,0,0,16.666901,1.720800,3.044700,16.874500,1,5546,5546,1,0,closed,532
5.860636,0,1,4,0,0,16.666800,1.696400,2.570100,16.513100,1,5546,5546,1,0,closed,533
5.877349,0,1,4,0,0,16.666901,2.279900,3.423500,17.306601,1,5546,5546,1,0,closed,534
5.893951,0,1,4,0,0,16.666901,1.805600,2.809600,16.116699,1,5546,5546,1,0,closed,535
5.910697,0,1,4,0,0,16.666998,1.689900,2.873100,16.520201,1,5546,5546,1,0,closed,536
5.928128,0,1,4,0,0,16.666702,1.690400,3.540800,17.001499,1,5546,5546,1,0,closed,537
5.944007,0,1,4,0,0,16.666800,2.820400,3.980200,17.165300,1,5546,5546,1,0,closed,538
5.960879,0,1,4,0,0,16.666698,1.883900,3.002100,15.941600,1,5546,5546,1,0,closed,539
5.977385,0,1,4,0,0,16.667002,2.026300,3.391900,17.082399,1,5546,5546,1,0,closed,540
5.994001,0,1,4,0,0,16.666800,2.058100,3.253000,16.389099,1,5546,5546,1,0,closed,541
6.010748,0,1,4,0,0,16.666998,2.152600,6.803600,17.134600,1,5546,5546,1,0,closed,542
