wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.011559,2,3,5,40,0,16.666800,2.959900,4.638400,16.321600,1,49159,49159,1,0,closed,3657
5.027398,2,3,5,40,0,16.666800,3.836400,5.350300,17.052601,1,49159,49159,1,0,closed,3658
5.045547,2,3,5,40,0,16.667002,2.623700,5.443400,15.768600,1,49159,49159,1,0,closed,3659
5.060745,2,3,5,40,0,16.666698,4.581600,4.185100,18.490400,1,49159,49159,1,0,closed,3660
5.078205,2,3,5,40,0,16.666698,2.775100,3.974200,14.902200,1,49159,49159,1,0,closed,3661
5.094179,2,3,5,40,0,16.667002,3.574000,4.410200,17.607700,1,49159,49159,1,0,closed,3662
5.110719,2,3,5,40,0,16.666698,2.832000,3.630300,15.897600,1,49159,49159,1,0,closed,3663
5.128375,2,3,5,40,0,16.666800,2.986800,3.309400,17.127399,1,49159,49159,1,0,closed,3664
5.145021,0,4,5,0,0,16.667002,3.501100,3.843400,17.308701,1,7940,7940,0,0,closed,3665
5.167688,0,4,5,0,0,22.418499,21.029301,3.843400,17.308701,1,7940,7940,0,0,closed,3666
5.184147,0,4,5,0,0,16.666698,5.215600,4.603800,9.557000,1,7940,7940,0,0,closed,3667
5.199801,0,4,5,0,0,16.666800,3.757100,3.944400,11.573300,1,7940,7940,0,0,closed,3668
5.217431,0,4,5,0,0,16.666800,2.114100,4.758700,15.770600,1,7940,7940,0,0,closed,3669
5.233053,0,4,5,0,0,16.666702,3.452400,3.892400,17.625099,1,7940,7940,0,0,closed,3670
5.249856,0,4,5,0,0,16.666897,2.216100,3.087700,15.347700,1,7940,7940,0,0,closed,3671
5.266865,0,4,5,0,0,16.666702,1.893000,5.133600,17.191900,1,7940,7940,0,0,closed,3672
5.283050,0,4,5,0,0,16.666698,2.992400,3.160500,16.812099,1,7940,7940,0,0,closed,3673
5.299956,0,4,5,0,0,16.666800,3.621600,4.179800,17.800100,1,7940,7940,0,0,closed,3674
5.316386,0,4,5,0,0,16.666901,2.357200,3.128600,15.294500,1,7940,7940,0,0,closed,3675
5.333284,0,4,5,0,0,16.666901,1.830100,3.292600,16.437300,1,7940,7940,0,0,closed,3676
5.349752,0,4,5,0,0,16.666800,3.930700,4.043000,18.902000,1,7937,7937,0,0,closed,3677
5.366524,0,4,5,0,0,16.667002,3.165900,3.433100,14.485500,1,7937,7937,0,0,closed,3678
5.383174,0,4,5,0,0,16.666698,2.132700,2.900500,16.615400,1,7937,7937,0,0,closed,3679
5.400976,0,4,5,0,0,16.666800,2.166700,4.322600,16.927700,1,7936,7936,0,0,closed,3680
5.416363,0,4,5,0,0,16.666901,3.315400,3.170100,17.525801,1,7936,7936,0,0,closed,3681
5.433180,0,4,5,0,0,16.666698,1.825400,4.154000,16.486401,1,7936,7936,0,0,closed,3682
5.449709,0,4,5,0,0,16.666800,1.989800,3.600000,15.851500,1,7936,7936,0,0,closed,3683
5.574594,0,4,5,0,0,124.830299,2.105900,0.418600,15.851500,1,7936,7936,0,0,closed,3684
5.591285,0,4,5,0,0,16.666803,106.803902,4.345500,127.367203,1,8010,8010,0,0,closed,3685
5.607914,0,4,6,0,0,16.666897,4.016400,3.645700,14.943200,1,8010,8010,0,0,closed,3686
5.624656,0,4,6,0,0,16.666901,2.007100,3.478900,15.984700,1,8010,8010,0,0,closed,3687
5.641344,0,4,6,0,0,16.666901,2.364400,5.774500,16.845800,1,8010,8010,0,0,closed,3688
5.659072,0,4,6,0,0,16.667002,2.578800,4.308000,16.496599,1,8010,8010,0,0,closed,3689
5.674883,0,4,6,0,0,16.666901,3.221600,3.991000,17.783899,1,8010,8010,0,0,closed,3690
5.691293,0,4,6,0,0,16.666901,2.399800,3.971800,16.026600,1,8010,8010,0,0,closed,3691
5.707897,0,4,6,0,0,16.666698,2.717000,3.636900,16.181200,1,8010,8010,0,0,closed,3692
5.724762,0,4,6,0,0,16.666901,1.922800,4.745200,17.589300,1,8010,8010,0,0,closed,3693
5.741426,0,4,6,0,0,16.682699,2.245100,4.060400,15.908800,1,8010,8010,0,0,closed,3694
5.758021,0,4,6,0,0,16.666800,2.496100,3.494600,16.815100,1,8010,8010,0,0,closed,3695
5.780437,1,4,6,41,4,16.666698,4.818800,4.300300,18.864201,1,34271,34271,0,0,closed,3696
5.814469,1,4,11,41,4,39.632599,39.677200,4.300300,18.864201,1,34271,34271,0,0,closed,3697
5.831074,1,4,11,41,4,16.666800,8.586500,5.680400,10.648600,1,34271,34271,0,0,closed,3698
5.847737,1,4,11,41,4,16.673201,8.003300,6.327300,14.129100,1,38735,38735,0,0,closed,3699
5.864445,1,4,11,41,4,16.666901,6.822900,6.171600,12.737600,1,38735,38735,0,0,closed,3700
5.889305,1,4,11,41,4,16.666901,2.912600,5.136700,15.711200,1,40111,40111,0,0,closed,3701
5.897779,1,4,11,41,4,16.667002,11.292300,6.483600,15.711200,1,40111,40111,0,0,closed,3702
5.914382,1,4,11,41,4,16.666800,3.084800,5.739500,6.578200,1,40111,40111,0,0,closed,3703
5.930964,1,4,11,41,4,16.667002,2.629300,5.042200,16.501801,1,40111,40111,0,0,closed,3704
5.947979,1,4,11,41,4,16.666800,1.952300,4.870000,16.598000,1,40111,40111,0,0,closed,3705
