LogPakFile: Display: ProjectDir: ../../../Engine/Programs/UnrealPak/
LogPakFile: Display: Using command line for crypto configuration
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/asset_manifest.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/asset_manifest.json" Offset 10123264.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/bots.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/bots.json" Offset 10124478.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/neutrals.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/neutrals.json" Offset 10137600.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/rules.alpha.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/rules.alpha.json" Offset 10141696.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/runtime_stage_manifest.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/runtime_stage_manifest.json" Offset 10143744.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/traits.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/traits.json" Offset 10145792.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/units.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/units.json" Offset 10147840.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/world.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/world.json" Offset 10188800.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/generated/catalog_digest.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/generated/catalog_digest.json" Offset 10125312.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/generated/unreal/DT_Abilities_Alpha.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/generated/unreal/DT_Abilities_Alpha.json" Offset 10127360.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/generated/unreal/DT_Units_Alpha.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/generated/unreal/DT_Units_Alpha.json" Offset 10131456.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/locales/en.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/locales/en.json" Offset 10133504.
LogPakFile: Display: Extracted "WonderChess/Content/WonderChess/SourceData/locales/id.json" to "C:/Users/iputu/Documents/Wonder Chess/reports/WC-U450/20260907T172100Z-r4/extracted/WonderChess/Content/WonderChess/SourceData/locales/id.json" Offset 10135552.
LogPakFile: Display: UnrealPak executed in 0.022346 seconds
