wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.007517,1,3,6,41,1,76.195900,10.156000,0.225800,17.320000,1,49714,49714,1,1,closed,744
5.023945,1,3,6,41,1,16.666897,53.284901,3.531800,69.810097,1,49714,49714,1,1,closed,745
5.040970,1,3,6,41,1,16.666901,2.174600,4.438900,14.767100,1,49714,49714,1,1,closed,746
5.057480,1,3,6,41,1,16.666901,3.305600,3.560600,17.711100,1,49714,49714,1,1,closed,747
5.074213,1,3,6,41,1,16.666901,2.789300,4.204700,17.016899,1,49714,49714,1,1,closed,748
5.090660,1,3,6,41,1,16.666901,2.612900,3.608700,16.532400,1,49714,49714,1,1,closed,749
5.107341,1,3,6,41,1,16.666901,5.897400,2.610300,19.829800,1,49714,49714,1,1,closed,750
5.123951,1,3,6,41,1,16.666698,1.900100,3.627900,12.575700,1,49714,49714,1,1,closed,751
5.140771,1,3,6,41,1,16.669102,2.258600,3.813600,16.408600,1,49714,49714,1,1,closed,752
5.158324,1,3,6,41,1,16.666901,2.315700,2.985200,17.906700,1,49714,49714,1,1,closed,753
5.174101,1,3,6,41,1,16.666800,3.210600,4.296900,17.043501,1,49714,49714,1,1,closed,754
5.193763,0,4,6,0,0,16.666698,2.168600,4.148400,15.257600,1,7856,7856,0,0,closed,755
5.215347,0,4,5,0,0,24.200499,23.572500,4.148400,15.257600,1,7856,7856,0,0,closed,756
5.231703,0,4,5,0,0,16.666901,2.948000,3.193000,7.822400,1,7856,7856,0,0,closed,757
5.248129,0,4,5,0,0,16.666901,2.316000,3.029400,11.672600,1,7856,7856,0,0,closed,758
5.265456,0,4,5,0,0,16.666800,2.057500,3.242200,15.717300,1,7856,7856,0,0,closed,759
5.281577,0,4,5,0,0,16.666800,2.459900,2.958300,17.108000,1,7856,7856,0,0,closed,760
5.299124,0,4,5,0,0,16.666901,4.130000,4.168400,18.824200,1,7927,7927,0,0,closed,761
5.314903,0,4,5,0,0,16.666698,3.582000,3.007800,15.266800,1,7927,7927,0,0,closed,762
5.331812,0,4,5,0,0,16.666800,2.001500,4.031300,15.565800,1,7927,7927,0,0,closed,763
5.348192,0,4,5,0,0,16.666800,2.406600,3.377900,17.216499,1,7927,7927,0,0,closed,764
5.366191,0,4,5,0,0,16.666901,2.276100,3.865200,15.918100,1,7925,7925,0,0,closed,765
5.381565,0,4,5,0,0,16.666901,3.769900,3.970500,18.251801,1,7925,7925,0,0,closed,766
5.398394,0,4,5,0,0,16.666800,2.117800,4.036100,15.024100,1,7925,7925,0,0,closed,767
5.414884,0,4,5,0,0,16.666800,2.687400,3.091700,16.933901,1,7925,7925,0,0,closed,768
5.431532,0,4,5,0,0,16.666901,1.940000,3.624600,16.377899,1,7925,7925,0,0,closed,769
5.449422,0,4,5,0,0,16.666800,1.919800,3.199600,17.127399,1,7924,7924,0,0,closed,770
