wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.008548,0,1,4,0,0,16.666800,1.700300,2.667100,16.631800,1,5111,5111,1,0,closed,482
5.025157,0,1,4,0,0,16.667002,1.665300,3.457500,16.824301,1,5111,5111,1,0,closed,483
5.041927,0,1,4,0,0,16.669098,3.284900,3.046500,18.149401,1,5111,5111,1,0,closed,484
5.058590,0,1,4,0,0,16.666800,2.062100,2.416600,15.151100,1,5111,5111,1,0,closed,485
5.075231,0,1,4,0,0,16.667002,1.551400,2.581300,16.774099,1,5111,5111,1,0,closed,486
5.091887,0,1,4,0,0,16.666800,1.913400,2.989800,16.706600,1,5111,5111,1,0,closed,487
5.108511,0,1,4,0,0,16.666698,2.126200,2.606800,16.530399,1,5111,5111,1,0,closed,488
5.125179,0,1,4,0,0,16.666702,1.681600,2.604100,16.604200,1,5111,5111,1,0,closed,489
5.141900,0,1,4,0,0,16.666901,1.785200,2.729700,16.662500,1,5111,5111,1,0,closed,490
5.158524,0,1,4,0,0,16.666897,1.599400,2.669600,16.702499,1,5111,5111,1,0,closed,491
5.175900,0,1,4,0,0,16.666800,1.530800,2.849600,16.666599,1,5110,5110,1,0,closed,492
5.191963,0,1,4,0,0,16.666803,2.564300,2.677200,17.338400,1,5110,5110,1,0,closed,493
5.208531,0,1,4,0,0,16.666897,1.727500,2.803600,16.182301,1,5110,5110,1,0,closed,494
5.225202,0,1,4,0,0,16.666901,2.006600,3.069500,16.505800,1,5110,5110,1,0,closed,495
5.241902,0,1,4,0,0,16.666901,1.862900,3.075800,16.632799,1,5110,5110,1,0,closed,496
5.258539,0,1,4,0,0,16.666901,1.662100,3.913500,16.724001,1,5110,5110,1,0,closed,497
5.275247,0,1,4,0,0,16.666800,2.078000,2.770100,16.615400,1,5110,5110,1,0,closed,498
5.291900,0,1,4,0,0,16.666800,1.796800,2.699600,16.755800,1,5110,5110,1,0,closed,499
5.308541,0,1,4,0,0,16.666698,1.703400,3.111200,16.602100,1,5110,5110,1,0,closed,500
5.325174,0,1,4,0,0,16.666901,1.491900,2.836600,16.666599,1,5110,5110,1,0,closed,501
5.341846,0,1,4,0,0,16.666901,1.547000,2.538600,16.667601,1,5110,5110,1,0,closed,502
5.358502,0,1,4,0,0,16.666800,1.822800,2.837800,16.602100,1,5110,5110,1,0,closed,503
5.375213,0,1,4,0,0,16.666800,2.333000,3.102700,16.680000,1,5110,5110,1,0,closed,504
5.391856,0,1,4,0,0,16.666901,1.851800,2.536500,16.663500,1,5110,5110,1,0,closed,505
5.408524,0,1,4,0,0,16.666698,1.485900,2.527900,16.734200,1,5110,5110,1,0,closed,506
5.425780,0,1,4,0,0,16.666702,1.490700,2.297400,16.625700,1,5110,5110,1,0,closed,507
5.441858,0,1,4,0,0,16.666800,2.240400,2.752700,17.189899,1,5110,5110,1,0,closed,508
5.458502,0,1,4,0,0,16.666901,1.699900,2.760900,16.077801,1,5110,5110,1,0,closed,509
5.475158,0,1,4,0,0,16.666698,1.749200,2.503900,16.715799,1,5110,5110,1,0,closed,510
5.491845,0,1,4,0,0,16.666698,1.749900,2.538300,16.651300,1,5110,5110,1,0,closed,511
5.508506,0,1,4,0,0,16.666800,1.738400,2.556500,16.702400,1,5110,5110,1,0,closed,512
5.525195,0,1,4,0,0,16.666800,1.525300,2.856700,16.593901,1,5110,5110,1,0,closed,513
5.541841,0,1,4,0,0,16.666698,3.056300,2.824000,17.940500,1,5110,5110,1,0,closed,514
5.558540,0,1,4,0,0,16.666901,1.719000,2.857600,15.383600,1,5110,5110,1,0,closed,515
5.575271,0,1,4,0,0,16.667002,1.841300,3.156300,16.913401,1,5110,5110,1,0,closed,516
5.591914,0,1,4,0,0,16.666698,1.863500,2.925600,16.634899,1,5110,5110,1,0,closed,517
5.608514,0,1,4,0,0,16.666901,1.645100,2.559700,16.613400,1,5110,5110,1,0,closed,518
5.625165,0,1,4,0,0,16.666800,1.766500,2.590900,16.676800,1,5110,5110,1,0,closed,519
5.641844,0,1,4,0,0,16.666901,1.855000,2.759200,16.552000,1,5110,5110,1,0,closed,520
5.658547,0,1,4,0,0,16.666800,1.904500,2.474400,16.677900,1,5110,5110,1,0,closed,521
5.675824,0,1,4,0,0,16.666800,1.558800,2.671400,16.909300,1,5546,5546,1,0,closed,522
5.691838,0,1,4,0,0,16.666901,2.401100,2.735900,17.030100,1,5546,5546,1,0,closed,523
5.708509,0,1,4,0,0,16.667101,1.368500,2.342100,16.034800,1,5546,5546,1,0,closed,524
5.725181,0,1,4,0,0,16.666698,1.579300,2.516900,16.662600,1,5546,5546,1,0,closed,525
5.741868,0,1,4,0,0,16.666800,1.619900,2.338900,16.622499,1,5546,5546,1,0,closed,526
5.758530,0,1,4,0,0,16.666698,2.962400,2.408800,16.732201,1,5546,5546,1,0,closed,527
5.775184,0,1,4,0,0,16.666698,2.206500,3.119500,16.657400,1,5546,5546,1,0,closed,528
5.791873,0,1,4,0,0,16.666901,1.779800,4.295700,7.646200,1,5546,5546,1,0,closed,529
5.808511,0,1,4,0,0,16.666800,1.809600,3.052800,16.649200,1,5546,5546,1,0,closed,530
5.825220,0,1,4,0,0,16.666800,1.969400,2.734000,16.848900,1,5546,5546,1,0,closed,531
5.841902,0,1,4,0,0,16.666803,2.457400,2.472900,16.493601,1,5546,5546,1,0,closed,532
5.858510,0,1,4,0,0,16.666800,1.500300,2.530200,16.728100,1,5546,5546,1,0,closed,533
5.875174,0,1,4,0,0,16.666698,1.479600,2.413200,16.599001,1,5546,5546,1,0,closed,534
5.891860,0,1,4,0,0,16.666901,1.626300,2.778500,16.684000,1,5546,5546,1,0,closed,535
5.908511,0,1,4,0,0,16.666901,1.722100,2.662100,16.739401,1,5546,5546,1,0,closed,536
5.925857,0,1,4,0,0,16.666901,1.813500,2.517100,16.566200,1,5546,5546,1,0,closed,537
5.941858,0,1,4,0,0,16.666800,2.077600,2.435000,17.263700,1,5546,5546,1,0,closed,538
5.958536,0,1,4,0,0,16.666897,1.418900,2.573700,16.090099,1,5546,5546,1,0,closed,539
5.975185,0,1,4,0,0,16.666702,1.847900,2.427800,16.666599,1,5546,5546,1,0,closed,540
5.991905,0,1,4,0,0,16.666901,1.784000,2.896000,16.646200,1,5546,5546,1,0,closed,541
6.008529,0,1,4,0,0,16.666897,1.665200,2.662800,16.756701,1,5546,5546,1,0,closed,542
6.025194,0,1,4,0,0,16.666803,1.940300,2.695000,16.624599,1,5546,5546,1,0,closed,543
6.041917,0,1,4,0,0,16.666998,4.002000,2.763900,18.953199,1,5546,5546,1,0,closed,544
6.058564,0,1,4,0,0,16.666800,2.751100,2.717600,15.346700,1,5546,5546,1,0,closed,545
6.075183,0,1,4,0,0,16.666901,2.022900,2.623800,15.707200,1,5546,5546,1,0,closed,546
6.091867,0,1,4,0,0,16.666800,1.863000,2.734200,16.626699,1,5546,5546,1,0,closed,547
6.108522,0,1,4,0,0,16.666800,1.839700,2.722000,16.681900,1,5546,5546,1,0,closed,548
