wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.007341,2,3,5,40,0,16.674400,5.915300,5.153400,12.372000,1,49159,49159,1,0,closed,3782
5.025329,2,3,5,40,0,16.666901,3.476200,4.301800,15.052800,1,49159,49159,1,0,closed,3783
5.040713,2,3,5,40,0,16.666800,5.392700,5.702200,18.741199,1,49159,49159,1,0,closed,3784
5.058546,2,3,5,40,0,16.666901,2.727000,3.981800,14.728200,1,49159,49159,1,0,closed,3785
5.074230,2,3,5,40,0,16.671701,4.229400,5.319900,17.621000,1,49159,49159,1,0,closed,3786
5.090641,2,3,5,40,0,16.666998,3.345500,4.778600,16.200701,1,49159,49159,1,0,closed,3787
5.108170,2,3,5,40,0,16.666901,2.870500,5.084200,15.696900,1,49159,49159,1,0,closed,3788
5.124029,2,3,5,40,0,16.667002,4.961300,5.048000,17.410101,1,49159,49159,1,0,closed,3789
5.141921,2,3,5,40,0,16.726400,2.781600,4.132900,16.308201,1,49159,49159,1,0,closed,3790
5.157376,2,3,5,40,0,16.666901,3.982200,5.214400,17.592300,1,49159,49159,1,0,closed,3791
5.174967,2,3,5,40,0,16.666901,3.521400,4.669400,16.010300,1,49159,49159,1,0,closed,3792
5.192489,0,4,5,0,0,16.666998,3.708300,4.738300,17.059799,1,7940,7940,0,0,closed,3793
5.218810,0,4,5,0,0,26.670500,27.039700,4.738300,17.059799,1,7940,7940,0,0,closed,3794
5.234881,0,4,5,0,0,16.667002,6.833300,3.999000,12.162000,1,7939,7939,0,0,closed,3795
5.250750,0,4,5,0,0,16.666698,4.215700,3.751000,9.434100,1,7939,7939,0,0,closed,3796
5.268115,0,4,5,0,0,16.666800,1.984900,3.723700,12.901400,1,7939,7939,0,0,closed,3797
5.284084,0,4,5,0,0,16.667002,2.860000,2.910500,17.242100,1,7939,7939,0,0,closed,3798
5.300737,0,4,5,0,0,16.666901,1.841400,3.165800,16.385099,1,7939,7939,0,0,closed,3799
5.317903,0,4,5,0,0,16.667702,1.883300,3.878100,15.603700,1,7939,7939,0,0,closed,3800
5.334075,0,4,5,0,0,16.684797,2.794400,4.358900,17.490900,1,7939,7939,0,0,closed,3801
5.351039,0,4,5,0,0,16.666702,2.224800,6.106600,15.806500,1,7939,7939,0,0,closed,3802
5.367399,0,4,5,0,0,16.666901,4.585100,3.383800,19.923901,1,7939,7939,0,0,closed,3803
5.384373,0,4,5,0,0,16.666800,2.133200,3.987800,12.951600,1,7939,7939,0,0,closed,3804
5.400775,0,4,5,0,0,16.666901,2.281400,3.210800,17.808399,1,7939,7939,0,0,closed,3805
5.417665,0,4,5,0,0,16.666897,4.762000,3.859000,19.007500,1,7937,7937,0,0,closed,3806
5.434092,0,4,5,0,0,16.671001,2.906900,5.319200,14.576600,1,7937,7937,0,0,closed,3807
5.452810,0,4,5,0,0,16.666698,2.230400,3.932400,16.216101,1,7936,7936,0,0,closed,3808
5.467374,0,4,5,0,0,16.666901,4.345800,3.733200,18.013201,1,7936,7936,0,0,closed,3809
5.484172,0,4,5,0,0,16.694199,1.910700,3.455400,14.672800,1,7936,7936,0,0,closed,3810
5.500739,0,4,5,0,0,16.666698,2.081400,3.590200,17.488899,1,7936,7936,0,0,closed,3811
5.627161,0,4,5,0,0,126.419601,1.953000,0.313700,17.488899,1,7936,7936,0,0,closed,3812
5.643888,0,4,5,0,0,16.666800,105.828003,4.936100,127.633400,1,8010,8010,0,0,closed,3813
5.660477,0,4,6,0,0,16.666702,3.973600,5.173600,16.363501,1,8010,8010,0,0,closed,3814
5.677172,0,4,6,0,0,16.666800,2.059200,5.121900,14.823400,1,8010,8010,0,0,closed,3815
5.693913,0,4,6,0,0,16.666800,2.145600,4.332100,16.743401,1,8010,8010,0,0,closed,3816
5.711654,0,4,6,0,0,16.666901,2.022800,4.574700,16.550900,1,8010,8010,0,0,closed,3817
5.727145,0,4,6,0,0,16.666800,3.353700,3.805200,17.754200,1,8010,8010,0,0,closed,3818
5.743848,0,4,6,0,0,16.666698,2.089100,4.554400,15.478700,1,8010,8010,0,0,closed,3819
5.760485,0,4,6,0,0,16.666698,2.341300,4.756000,16.576599,1,8010,8010,0,0,closed,3820
5.777174,0,4,6,0,0,16.666901,1.915000,3.875200,16.832500,1,8010,8010,0,0,closed,3821
5.793815,0,4,6,0,0,16.666901,2.026000,5.077000,16.649200,1,8010,8010,0,0,closed,3822
5.810486,0,4,6,0,0,16.666901,2.633100,4.630600,16.540701,1,8010,8010,0,0,closed,3823
5.835381,1,4,6,41,4,16.666698,4.289800,4.653900,19.282900,1,34271,34271,0,0,closed,3824
5.867243,1,4,11,41,4,39.871902,40.372501,4.653900,19.282900,1,34271,34271,0,0,closed,3825
5.883845,1,4,11,41,4,16.666698,8.313300,5.454400,12.567600,1,34271,34271,0,0,closed,3826
5.900640,1,4,11,41,4,16.666901,3.330300,3.849700,15.633400,1,34271,34271,0,0,closed,3827
5.917262,1,4,11,41,4,16.666698,8.309700,4.303700,14.102500,1,39912,39912,0,0,closed,3828
5.938539,1,4,11,41,4,16.667002,5.312900,3.733000,11.856900,1,40111,40111,0,0,closed,3829
