seed,round,index,a,b,kind,winner,ticks,timeout,survivors_a,survivors_b
251,1,0,0,-1,2,0,56,0,4,0
251,1,1,1,-1,2,0,56,0,4,0
251,1,2,2,-1,2,0,56,0,3,0
251,1,3,3,-1,2,0,44,0,3,0
251,1,4,4,-1,2,0,64,0,4,0
251,1,5,5,-1,2,0,72,0,3,0
251,1,6,6,-1,2,0,56,0,3,0
251,1,7,7,-1,2,0,56,0,4,0
251,2,0,0,-1,2,0,102,0,4,0
251,2,1,1,-1,2,0,125,0,4,0
251,2,2,2,-1,2,0,84,0,4,0
251,2,3,3,-1,2,0,58,0,4,0
251,2,4,4,-1,2,0,101,0,4,0
251,2,5,5,-1,2,0,121,0,4,0
251,2,6,6,-1,2,0,56,0,4,0
251,2,7,7,-1,2,0,64,0,4,0
251,3,0,0,-1,2,0,93,0,5,0
251,3,1,1,-1,2,0,108,0,5,0
251,3,2,2,-1,2,0,92,0,5,0
251,3,3,3,-1,2,0,69,0,5,0
251,3,4,4,-1,2,0,108,0,5,0
251,3,5,5,-1,2,0,113,0,5,0
251,3,6,6,-1,2,0,122,0,5,0
251,3,7,7,-1,2,0,108,0,5,0
251,4,0,0,4,0,1,556,0,0,4
251,4,1,1,3,0,0,377,0,4,0
251,4,2,2,6,0,1,600,0,0,2
251,4,3,5,7,0,1,650,0,0,4
251,5,0,0,-1,2,0,145,0,5,0
251,5,1,1,-1,2,0,133,0,5,0
251,5,2,2,-1,2,0,140,0,5,0
251,5,3,3,-1,2,0,169,0,5,0
251,5,4,4,-1,2,0,198,0,5,0
251,5,5,5,-1,2,0,133,0,5,0
251,5,6,6,-1,2,0,139,0,5,0
251,5,7,7,-1,2,0,189,0,5,0
251,6,0,0,3,0,1,406,0,0,5
251,6,1,1,7,0,1,737,0,0,2
251,6,2,2,4,0,1,618,0,0,3
251,6,3,5,6,0,0,900,1,2,2
251,7,0,0,1,0,0,352,0,4,0
251,7,1,2,7,0,0,468,0,5,0
251,7,2,3,6,0,1,693,0,0,2
251,7,3,4,5,0,1,724,0,0,4
251,8,0,0,6,0,1,873,0,0,3
251,8,1,1,2,0,1,323,0,0,4
251,8,2,3,5,0,1,900,1,1,1
251,8,3,4,7,0,1,470,0,0,5
251,9,0,0,2,0,1,551,0,0,4
251,9,1,1,5,0,1,556,0,0,4
251,9,2,3,7,0,1,896,0,0,4
251,9,3,4,6,0,1,766,0,0,5
251,10,0,0,-1,2,0,197,0,6,0
251,10,1,1,-1,2,0,125,0,6,0
251,10,2,2,-1,2,0,165,0,6,0
251,10,3,3,-1,2,0,151,0,6,0
251,10,4,4,-1,2,0,220,0,6,0
251,10,5,5,-1,2,0,151,0,6,0
251,10,6,6,-1,2,0,169,0,6,0
251,10,7,7,-1,2,0,145,0,6,0
251,11,0,0,7,0,0,635,0,4,0
251,11,1,1,6,0,0,497,0,5,0
251,11,2,2,5,0,0,600,0,4,0
251,11,3,3,4,0,1,528,0,0,4
251,12,0,0,5,0,0,551,0,3,0
251,12,1,1,4,0,0,457,0,5,0
251,12,2,2,3,0,0,443,0,4,0
251,12,3,6,7,0,1,669,0,0,5
251,13,0,0,4,0,0,577,0,5,0
251,13,1,1,3,0,0,867,0,1,0
251,13,2,2,6,0,0,737,0,2,0
251,13,3,5,7,0,0,900,1,3,2
251,14,0,0,6,0,0,575,0,3,0
251,14,1,1,2,0,0,900,1,1,1
251,14,2,3,7,0,1,485,0,0,6
251,14,3,4,5,0,0,497,0,4,0
251,15,0,0,-1,2,0,220,0,6,0
251,15,1,1,-1,2,0,153,0,6,0
251,15,2,2,-1,2,0,153,0,6,0
251,15,3,3,-1,2,0,167,0,6,0
251,15,4,4,-1,2,0,176,0,6,0
251,15,5,5,-1,2,0,145,0,6,0
251,15,6,6,-1,2,0,153,0,6,0
251,15,7,7,-1,2,0,189,0,6,0
251,16,0,0,3,0,0,679,0,4,0
251,16,1,1,5,0,1,691,0,0,3
251,16,2,2,7,0,0,525,0,5,0
251,16,3,4,6,0,0,900,1,2,2
251,17,0,0,5,0,1,642,0,0,5
251,17,1,1,7,0,0,648,0,3,0
251,17,2,2,4,0,0,556,0,5,0
251,17,3,3,6,0,1,900,1,2,2
251,18,0,0,2,0,0,704,0,4,0
251,18,1,1,6,0,1,900,1,1,3
251,18,2,3,5,0,1,438,0,0,6
251,18,3,4,7,0,0,664,0,5,0
251,19,0,0,1,0,0,568,0,5,0
251,19,1,2,5,0,1,669,0,0,6
251,19,2,3,4,0,1,720,0,0,5
251,19,3,6,7,0,0,900,1,3,2
251,20,0,0,-1,2,0,183,0,7,0
251,20,1,1,-1,2,0,169,0,7,0
251,20,2,2,-1,2,0,149,0,7,0
251,20,3,3,-1,2,0,169,0,7,0
251,20,4,4,-1,2,0,176,0,7,0
251,20,5,5,-1,2,0,173,0,7,0
251,20,6,6,-1,2,0,173,0,7,0
251,20,7,7,-1,2,0,180,0,7,0
251,21,0,0,7,0,1,665,0,0,5
251,21,1,1,4,0,1,451,0,0,6
251,21,2,2,3,0,1,719,0,0,5
251,21,3,5,6,0,0,863,0,4,0
251,22,0,0,4,0,0,900,1,3,1
251,22,1,1,2,0,1,463,0,0,5
251,22,2,3,6,0,1,626,0,0,6
251,22,3,5,7,0,0,589,0,6,0
251,23,0,0,6,0,1,724,0,0,4
251,23,1,1,3,0,1,454,0,0,6
251,23,2,2,5,0,1,561,0,0,6
251,23,3,4,7,0,0,900,1,3,2
251,24,0,0,3,0,0,762,0,6,0
251,24,1,1,7,0,1,469,0,0,7
251,24,2,2,4,0,1,713,0,0,4
251,24,3,5,6,0,0,662,0,5,0
251,25,0,0,-1,2,0,341,0,7,0
251,25,1,1,-1,2,0,313,0,6,0
251,25,2,2,-1,2,0,333,0,7,0
251,25,3,3,-1,2,0,326,0,7,0
251,25,4,4,-1,2,0,289,0,7,0
251,25,5,5,-1,2,0,313,0,7,0
251,25,6,6,-1,2,0,336,0,7,0
251,25,7,7,-1,2,0,390,0,7,0
251,26,0,0,7,0,0,842,0,5,0
251,26,1,1,5,0,1,308,0,0,7
251,26,2,2,3,0,0,556,0,6,0
