seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
501,41,1811800,171050,1440750,200000,0,183,32,24,26,0
502,44,1884650,193700,1475950,215000,0,187,23,24,24,0
503,42,1777600,169600,1403000,205000,0,188,18,24,24,0
504,44,1876650,153700,1507950,215000,0,190,26,24,24,0
505,45,1890800,155750,1515050,220000,1,191,20,24,24,0
506,44,1933200,178700,1539500,215000,0,188,31,23,26,0
507,44,1942400,161200,1566200,215000,0,184,25,23,23,0
508,41,1775850,180550,1395300,200000,0,180,19,24,25,0
509,42,1861100,166100,1490000,205000,0,187,35,24,24,0
510,41,1796250,185050,1411200,200000,0,189,27,24,26,0
511,43,1848200,169150,1469050,210000,0,184,19,24,24,0
512,44,1964850,183700,1566150,215000,0,190,34,24,24,0
513,44,1933250,172200,1546050,215000,0,184,22,24,24,0
514,42,1873000,177100,1490900,205000,0,186,37,24,24,0
515,42,1879850,185600,1489250,205000,0,188,33,24,26,0
516,43,1913000,168150,1534850,210000,0,191,35,24,24,0
517,43,1892950,178150,1504800,210000,0,185,26,24,28,0
518,42,1817500,178600,1433900,205000,0,190,25,24,26,0
519,43,1879950,157650,1512300,210000,0,192,30,24,24,0
520,42,1848300,160600,1482700,205000,0,177,26,24,27,0
521,42,1908100,191100,1512000,205000,0,186,27,24,26,0
522,43,1857600,181150,1466450,210000,0,189,21,23,25,0
523,45,1973250,172750,1580500,220000,1,195,32,23,24,0
524,43,1889250,171650,1507600,210000,0,187,27,24,26,0
525,39,1719550,179950,1349600,190000,0,182,24,23,24,0
526,43,1859350,201150,1448200,210000,0,184,21,24,26,0
527,43,1759050,162150,1386900,210000,0,180,20,24,26,0
528,39,1716800,166450,1360350,190000,0,186,30,24,26,0
529,44,1976850,182700,1579150,215000,0,192,30,24,25,0
530,43,1889250,185650,1493600,210000,0,194,38,24,27,0
531,43,1826350,168650,1447700,210000,0,185,20,24,25,0
532,44,1909350,159700,1534650,215000,0,181,20,24,25,0
533,44,1854050,164200,1474850,215000,0,190,15,24,28,0
534,42,1779800,163600,1411200,205000,0,182,13,24,24,0
535,42,1864350,163100,1496250,205000,0,190,26,24,25,0
536,44,1910100,196700,1498400,215000,0,195,24,23,23,0
537,45,1910150,165250,1524900,220000,1,192,28,24,24,0
538,42,1853250,172600,1475650,205000,0,185,30,24,26,0
539,43,1825750,161650,1454100,210000,0,185,23,24,26,0
540,42,1830850,170100,1455750,205000,0,183,29,24,27,0
541,45,1965850,183250,1562600,220000,1,182,21,23,25,0
542,43,1864150,161650,1492500,210000,0,182,24,24,25,0
543,43,1868950,171650,1487300,210000,0,193,19,24,26,0
544,39,1745250,177450,1377800,190000,0,185,32,24,26,0
545,45,1992000,183750,1588250,220000,1,197,42,24,27,0
546,45,2039350,188250,1631100,220000,1,189,34,24,25,0
547,45,1885750,176750,1489000,220000,1,192,19,24,25,0
548,41,1784950,181050,1403900,200000,0,186,22,24,24,0
549,43,1838750,164650,1464100,210000,0,181,24,23,24,0
550,38,1612950,171900,1256050,185000,0,177,26,23,25,0
