seed,round,seat,health,gold,damage,wins,placement,settlement_id,pre_hash,post_hash,pvp_round_index,neutral,pending_reward
1,1,0,60,1,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,1,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,2,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,3,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,4,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,5,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,6,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,1,7,60,0,0,0,0,13097996902870730322,16240187215092649201,154903283988537946,0,1,2
1,2,0,60,1,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,1,60,1,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,2,60,3,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,3,60,0,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,4,60,1,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,5,60,3,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,6,60,4,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,2,7,60,1,0,0,0,5427136217754053844,13814409053070865057,18368800355733716014,0,1,2
1,3,0,60,3,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,1,60,0,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,2,60,1,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,3,60,0,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,4,60,0,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,5,60,4,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,6,60,1,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,3,7,60,1,0,0,0,12739989232373767741,9959617796195163359,8657915647712250143,0,1,2
1,4,0,55,10,5,0,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,0
1,4,1,55,6,5,0,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,0
1,4,2,60,5,0,1,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,1
1,4,3,60,0,0,1,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,1
1,4,4,57,3,3,0,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,0
1,4,5,55,10,5,0,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,0
1,4,6,60,3,0,1,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,1
1,4,7,60,6,0,1,0,9477080945941340490,15012996326241256303,14134167965350548319,1,0,1
1,5,0,55,10,0,0,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,1,55,11,0,0,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,2,60,10,0,1,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,3,60,7,0,1,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,4,57,8,0,0,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,5,55,10,0,0,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,6,60,10,0,1,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,5,7,60,10,0,1,0,13184505012178015648,2623315854323700606,6001059171148295879,1,1,2
1,6,0,55,10,0,1,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,1
1,6,1,48,12,7,0,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,0
1,6,2,54,12,6,1,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,0
1,6,3,60,14,0,2,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,1
1,6,4,57,12,0,1,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,1
1,6,5,55,10,0,1,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,1
1,6,6,56,16,4,1,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,0
1,6,7,57,14,3,1,0,4321769332037791772,6047885742836008909,10032732700393367266,2,0,0
1,7,0,55,10,0,2,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,1
1,7,1,42,12,6,0,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,0
1,7,2,47,12,7,1,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,0
1,7,3,60,5,0,3,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,1
1,7,4,57,11,0,2,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,1
1,7,5,51,10,4,1,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,0
1,7,6,56,17,0,2,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,1
1,7,7,53,10,4,1,0,4493871142135227376,1761988874382268199,3888865102149746881,3,0,0
1,8,0,55,13,0,3,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,1
1,8,1,35,16,7,0,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,0
1,8,2,47,10,0,2,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,1
1,8,3,54,11,6,3,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,0
1,8,4,57,18,0,3,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,1
1,8,5,46,10,5,1,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,0
1,8,6,50,24,6,2,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,0
1,8,7,53,10,0,2,0,14322849561638453160,6401075967370544656,6989699777225167589,4,0,1
1,9,0,55,20,0,4,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,1
1,9,1,29,12,6,0,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,0
1,9,2,43,17,4,2,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,0
1,9,3,54,17,0,4,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,1
1,9,4,53,25,4,3,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,0
1,9,5,46,10,0,2,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,1
1,9,6,43,26,7,2,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,0
1,9,7,53,15,0,3,0,2060446567498810816,3317942730745968466,3820616304221315909,5,0,1
1,10,0,55,26,0,4,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,1,29,18,0,0,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,2,43,23,0,2,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,3,54,24,0,4,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,4,53,32,0,3,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,5,46,12,0,2,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,6,43,33,0,2,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,10,7,53,22,0,3,0,4440225182339837343,893714112366448840,9466659997106608423,5,1,2
1,11,0,55,35,0,5,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,1
1,11,1,22,26,7,0,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,0
1,11,2,39,26,4,2,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,0
1,11,3,51,33,3,4,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,0
1,11,4,53,42,0,4,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,1
1,11,5,46,20,0,3,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,1
1,11,6,43,43,0,3,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,1
1,11,7,48,31,5,3,0,1820667829929191117,7439123075919351390,13110178163082509123,6,0,0
1,12,0,55,44,0,6,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,1
1,12,1,13,33,9,0,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,0
1,12,2,30,33,9,2,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,0
1,12,3,45,41,6,4,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,0
1,12,4,53,51,0,5,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,1
1,12,5,46,25,0,4,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,1
1,12,6,35,52,8,3,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,0
1,12,7,48,39,0,4,0,9811589077373325889,14612087484046467276,5410522106441666315,7,0,1
1,13,0,48,53,7,6,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,0
1,13,1,4,41,9,0,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,0
1,13,2,23,41,7,2,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,0
1,13,3,45,49,0,5,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,1
1,13,4,53,60,0,6,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,1
1,13,5,46,33,0,5,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,1
1,13,6,27,60,8,3,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,0
1,13,7,48,48,0,5,0,5993868304753825386,4264892682537091733,15067822242973640653,8,0,1
1,14,0,48,61,0,7,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,1
1,14,1,0,47,8,0,8,644017073483138760,14874412090659171838,13791489485024680365,9,0,0
1,14,2,15,49,8,2,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,0
1,14,3,40,58,5,5,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,0
1,14,4,53,69,0,7,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,1
1,14,5,39,42,7,5,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,0
1,14,6,27,68,0,4,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,1
1,14,7,48,57,0,6,0,644017073483138760,14874412090659171838,13791489485024680365,9,0,1
1,15,0,48,70,0,7,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,15,1,0,47,0,0,8,18349767459349332063,9289649720839656521,610339974258005546,9,1,0
1,15,2,15,57,0,2,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,15,3,40,62,0,5,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,15,4,53,78,0,7,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,15,5,39,50,0,5,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,15,6,27,74,0,4,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,15,7,48,66,0,6,0,18349767459349332063,9289649720839656521,610339974258005546,9,1,2
1,16,0,48,80,0,8,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,1
1,16,1,0,47,0,0,8,10202351002008102715,12708126723121057450,8634235329578374760,10,0,0
1,16,2,7,67,8,2,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,0
1,16,3,40,72,0,6,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,1
1,16,4,45,88,8,7,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,0
1,16,5,39,58,0,6,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,1
1,16,6,18,84,9,4,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,0
1,16,7,48,72,0,7,0,10202351002008102715,12708126723121057450,8634235329578374760,10,0,1
1,17,0,48,89,0,9,0,9133434688334697727,6615493350257275667,14925157352179583409,11,0,1
1,17,1,0,47,0,0,8,9133434688334697727,6615493350257275667,14925157352179583409,11,0,0
1,17,2,0,75,9,2,7,9133434688334697727,6615493350257275667,14925157352179583409,11,0,0
1,17,3,35,81,5,6,0,9133434688334697727,6615493350257275667,14925157352179583409,11,0,0
1,17,4,38,96,7,7,0,9133434688334697727,6615493350257275667,14925157352179583409,11,0,0
1,17,5,39,67,0,7,0,9133434688334697727,6615493350257275667,14925157352179583409,11,0,1
1,17,6,11,92,7,4,0,9133434688334697727,6615493350257275667,14925157352179583409,11,0,0
1,17,7,48,79,0,8,0,9133434688334697727,6615493350257275667,14925157352179583409,11,0,1
1,18,0,48,98,0,10,0,17272607437485716287,12387402811293333457,2382824391273598866,12,0,1
1,18,1,0,47,0,0,8,17272607437485716287,12387402811293333457,2382824391273598866,12,0,0
1,18,2,0,75,0,2,7,17272607437485716287,12387402811293333457,2382824391273598866,12,0,0
1,18,3,35,89,0,7,0,17272607437485716287,12387402811293333457,2382824391273598866,12,0,1
1,18,4,31,104,7,7,0,17272607437485716287,12387402811293333457,2382824391273598866,12,0,0
1,18,5,39,73,0,8,0,17272607437485716287,12387402811293333457,2382824391273598866,12,0,1
1,18,6,4,100,7,4,0,17272607437485716287,12387402811293333457,2382824391273598866,12,0,0
