seed,round,index,a,b,kind,winner,ticks,timeout,survivors_a,survivors_b
701,1,0,0,-1,2,0,56,0,4,0
701,1,1,1,-1,2,0,77,0,3,0
701,1,2,2,-1,2,0,53,0,3,0
701,1,3,3,-1,2,0,40,0,3,0
701,1,4,4,-1,2,0,44,0,3,0
701,1,5,5,-1,2,0,40,0,3,0
701,1,6,6,-1,2,0,40,0,4,0
701,1,7,7,-1,2,0,40,0,4,0
701,2,0,0,-1,2,0,108,0,4,0
701,2,1,1,-1,2,0,108,0,4,0
701,2,2,2,-1,2,0,52,0,4,0
701,2,3,3,-1,2,0,40,0,4,0
701,2,4,4,-1,2,0,101,0,3,0
701,2,5,5,-1,2,0,44,0,4,0
701,2,6,6,-1,2,0,51,0,4,0
701,2,7,7,-1,2,0,93,0,4,0
701,3,0,0,-1,2,0,53,0,5,0
701,3,1,1,-1,2,0,117,0,5,0
701,3,2,2,-1,2,0,52,0,5,0
701,3,3,3,-1,2,0,44,0,5,0
701,3,4,4,-1,2,0,65,0,4,0
701,3,5,5,-1,2,0,56,0,5,0
701,3,6,6,-1,2,0,58,0,5,0
701,3,7,7,-1,2,0,77,0,5,0
701,4,0,0,6,0,0,323,0,3,0
701,4,1,1,3,0,1,405,0,0,4
701,4,2,2,5,0,1,577,0,0,1
701,4,3,4,7,0,1,458,0,0,3
701,5,0,0,-1,2,0,145,0,5,0
701,5,1,1,-1,2,0,130,0,5,0
701,5,2,2,-1,2,0,145,0,5,0
701,5,3,3,-1,2,0,189,0,5,0
701,5,4,4,-1,2,0,126,0,5,0
701,5,5,5,-1,2,0,180,0,5,0
701,5,6,6,-1,2,0,160,0,5,0
701,5,7,7,-1,2,0,150,0,5,0
701,6,0,0,3,0,1,364,0,0,4
701,6,1,1,5,0,1,413,0,0,5
701,6,2,2,7,0,1,414,0,0,5
701,6,3,4,6,0,0,433,0,5,0
701,7,0,0,2,0,0,655,0,1,0
701,7,1,1,4,0,1,367,0,0,5
701,7,2,3,7,0,0,616,0,4,0
701,7,3,5,6,0,0,406,0,5,0
701,8,0,0,4,0,1,478,0,0,4
701,8,1,1,7,0,1,439,0,0,4
701,8,2,2,6,0,0,410,0,5,0
701,8,3,3,5,0,1,472,0,0,5
701,9,0,0,5,0,1,424,0,0,6
701,9,1,1,2,0,1,445,0,0,6
701,9,2,3,4,0,0,479,0,4,0
701,9,3,6,7,0,1,555,0,0,4
701,10,0,0,-1,2,0,165,0,6,0
701,10,1,1,-1,2,0,150,0,6,0
701,10,2,2,-1,2,0,169,0,6,0
701,10,3,3,-1,2,0,133,0,6,0
701,10,4,4,-1,2,0,198,0,5,0
701,10,5,5,-1,2,0,144,0,6,0
701,10,6,6,-1,2,0,173,0,6,0
701,10,7,7,-1,2,0,140,0,6,0
701,11,0,0,7,0,1,494,0,0,5
701,11,1,1,6,0,0,501,0,4,0
701,11,2,2,3,0,1,686,0,0,3
701,11,3,4,5,0,0,724,0,3,0
701,12,0,0,1,0,1,836,0,0,1
701,12,1,2,4,0,1,547,0,0,6
701,12,2,3,6,0,0,547,0,5,0
701,12,3,5,7,0,0,817,0,2,0
701,13,0,0,3,0,0,639,0,2,0
701,13,1,1,2,0,1,756,0,0,4
701,13,2,4,5,0,0,712,0,2,0
701,13,3,6,7,0,1,900,1,2,2
701,14,0,0,7,0,0,631,0,5,0
701,14,1,1,3,0,1,846,0,0,3
701,14,2,2,4,0,1,710,0,0,4
701,14,3,5,6,0,0,619,0,3,0
701,15,0,0,-1,2,0,173,0,6,0
701,15,1,1,-1,2,0,150,0,6,0
701,15,2,2,-1,2,0,174,0,6,0
701,15,3,3,-1,2,0,169,0,6,0
701,15,4,4,-1,2,0,169,0,6,0
701,15,5,5,-1,2,0,139,0,6,0
701,15,6,6,-1,2,0,191,0,6,0
701,15,7,7,-1,2,0,182,0,6,0
701,16,0,0,6,0,0,511,0,3,0
701,16,1,1,4,0,1,521,0,0,6
701,16,2,2,3,0,1,468,0,0,4
701,16,3,5,7,0,1,450,0,0,5
701,17,0,0,2,0,1,706,0,0,5
701,17,1,1,7,0,1,367,0,0,6
701,17,2,3,5,0,0,463,0,4,0
701,17,3,4,6,0,0,511,0,5,0
701,18,0,0,5,0,1,457,0,0,4
701,18,1,1,6,0,1,438,0,0,5
701,18,2,2,7,0,0,900,1,4,4
701,18,3,3,4,0,0,624,0,3,0
701,19,0,0,4,0,0,900,1,3,3
701,19,1,1,5,0,1,591,0,0,5
701,19,2,2,6,0,0,491,0,7,0
701,19,3,3,7,0,0,614,0,4,0
701,20,0,0,-1,2,0,193,0,7,0
701,20,1,1,-1,2,0,231,0,7,0
701,20,2,2,-1,2,0,169,0,7,0
701,20,3,3,-1,2,0,140,0,7,0
701,20,4,4,-1,2,0,237,0,6,0
701,20,5,5,-1,2,0,149,0,7,0
701,20,6,6,-1,2,0,160,0,7,0
701,20,7,7,-1,2,0,173,0,7,0
701,21,0,0,1,0,0,693,0,6,0
701,21,1,2,5,0,0,704,0,5,0
701,21,2,3,6,0,0,432,0,7,0
701,21,3,4,7,0,0,686,0,6,0
701,22,0,0,3,0,0,500,0,7,0
701,22,1,1,5,0,1,449,0,0,5
701,22,2,2,4,0,0,900,1,4,3
701,22,3,6,7,0,1,500,0,0,6
701,23,0,0,5,0,1,636,0,0,4
701,23,1,1,7,0,1,419,0,0,7
701,23,2,2,6,0,0,626,0,6,0
701,23,3,3,4,0,0,900,1,2,1
701,24,0,0,6,0,0,693,0,5,0
701,24,1,1,4,0,1,494,0,0,6
701,24,2,2,5,0,1,899,0,0,3
701,24,3,3,7,0,1,755,0,0,3
701,25,0,0,-1,2,0,294,0,7,0
701,25,1,2,-1,2,0,394,0,7,0
701,25,2,3,-1,2,0,244,0,7,0
701,25,3,4,-1,2,0,343,0,7,0
701,25,4,5,-1,2,0,297,0,6,0
701,25,5,7,-1,2,0,313,0,7,0
701,26,0,0,2,0,0,900,1,5,1
701,26,1,3,5,0,0,565,0,5,0
701,26,2,4,7,0,0,817,0,5,0
701,27,0,0,7,0,0,900,1,5,4
701,27,1,2,3,0,0,624,0,7,0
701,27,2,4,5,0,1,900,1,3,4
701,28,0,0,4,0,0,900,1,6,3
701,28,1,2,7,0,1,900,1,1,6
701,28,2,3,5,0,1,587,0,0,3
701,29,0,0,3,0,0,662,0,5,0
701,29,1,2,4,0,1,741,0,0,7
701,29,2,5,7,0,0,805,0,5,0
701,30,0,0,-1,2,0,429,0,7,0
701,30,1,2,-1,2,0,449,0,7,0
701,30,2,3,-1,2,0,321,0,6,0
701,30,3,4,-1,2,0,388,0,7,0
701,30,4,5,-1,2,0,362,0,7,0
701,30,5,7,-1,2,0,443,0,6,0
701,31,0,0,4,0,0,900,1,4,4
701,31,1,2,5,0,1,682,0,0,7
701,31,2,3,7,0,0,738,0,3,0
701,32,0,0,5,0,1,900,1,3,3
701,32,1,2,3,0,1,768,0,0,3
701,32,2,4,7,0,0,894,0,6,0
701,33,0,0,2,0,0,900,1,7,4
701,33,1,3,4,0,0,563,0,7,0
701,33,2,5,7,0,0,685,0,7,0
701,34,0,5,4,1,0,573,0,8,0
701,34,1,0,4,0,0,740,0,6,0
701,34,2,3,7,0,1,557,0,0,7
701,35,0,0,-1,2,0,450,0,8,0
701,35,1,3,-1,2,0,358,0,6,0
701,35,2,4,-1,2,0,437,0,8,0
701,35,3,5,-1,2,0,402,0,6,0
701,35,4,7,-1,2,0,387,0,8,0
701,36,0,3,5,1,0,718,0,3,0
701,36,1,0,5,0,0,682,0,6,0
701,36,2,4,7,0,1,818,0,0,7
701,37,0,7,0,1,0,631,0,7,0
701,37,1,0,3,0,1,556,0,0,6
701,37,2,4,5,0,0,847,0,5,0
701,38,0,4,3,1,0,737,0,5,0
701,38,1,0,5,0,1,900,1,1,3
701,38,2,3,7,0,1,599,0,0,5
701,39,0,0,7,1,0,900,1,6,4
