seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
1,43,1821450,155150,1456300,210000,0,186,22,24,25,0
2,41,1788500,186550,1401950,200000,0,187,27,24,26,0
3,43,1872150,172650,1489500,210000,0,195,24,24,25,0
4,39,1698400,181950,1326450,190000,0,176,15,24,24,0
5,44,1908050,172700,1520350,215000,0,185,29,23,24,0
6,41,1727900,155550,1372350,200000,0,182,16,24,25,0
7,45,1855100,162750,1472350,220000,1,198,12,24,24,0
8,43,1906950,171650,1525300,210000,0,190,27,24,26,0
9,44,1963000,191200,1556800,215000,0,192,35,24,28,0
10,43,1866800,156150,1500650,210000,0,186,30,24,25,0
