seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
1,43,1821450,155150,1456300,210000,0,186,22,24,25,0
2,41,1788500,186550,1401950,200000,0,187,27,24,26,0
3,43,1872150,172650,1489500,210000,0,195,24,24,25,0
4,39,1698400,181950,1326450,190000,0,176,15,24,24,0
5,44,1908050,172700,1520350,215000,0,185,29,23,24,0
6,41,1727900,155550,1372350,200000,0,182,16,24,25,0
7,45,1855100,162750,1472350,220000,1,198,12,24,24,0
8,43,1906950,171650,1525300,210000,0,190,27,24,26,0
9,44,1963000,191200,1556800,215000,0,192,35,24,28,0
10,43,1866800,156150,1500650,210000,0,186,30,24,25,0
11,45,2045050,174750,1650300,220000,1,188,40,23,25,0
12,43,1906700,180150,1516550,210000,0,196,26,23,25,0
13,45,1901750,164250,1517500,220000,1,193,24,24,24,0
14,43,1903950,169650,1524300,210000,0,186,35,24,27,0
15,44,1918250,162700,1540550,215000,0,192,23,24,26,0
16,43,1865950,183150,1472800,210000,0,190,27,23,28,0
17,43,1886600,178150,1498450,210000,0,187,27,24,27,0
18,43,1900050,166650,1523400,210000,0,187,28,24,26,0
19,45,1942700,182750,1539950,220000,1,198,18,24,24,0
20,45,1934300,184250,1530050,220000,1,185,26,24,24,0
21,44,1879100,173200,1490900,215000,0,191,22,24,24,0
22,45,1958450,182250,1556200,220000,1,188,29,23,24,0
23,43,1891900,168150,1513750,210000,0,181,28,23,24,0
24,42,1831150,192100,1434050,205000,0,186,16,24,24,0
25,43,1927400,176650,1540750,210000,0,187,38,24,27,0
26,43,1825200,185650,1429550,210000,0,185,22,24,27,0
27,42,1721350,166100,1350250,205000,0,181,19,24,26,0
28,44,1952450,182700,1554750,215000,0,193,26,24,25,0
29,42,1842000,194600,1442400,205000,0,191,45,23,24,0
30,42,1796300,166100,1425200,205000,0,187,21,23,25,0
31,43,1862600,176150,1476450,210000,0,186,20,24,26,0
32,43,1842550,177650,1454900,210000,0,187,23,24,25,0
33,44,1910750,158200,1537550,215000,0,186,29,23,24,0
34,44,1935850,171700,1549150,215000,0,192,34,24,26,0
35,41,1843800,187550,1456250,200000,0,186,35,24,25,0
36,42,1855600,170600,1480000,205000,0,179,32,23,25,0
37,42,1760200,167100,1388100,205000,0,190,22,23,23,0
38,41,1784250,180050,1404200,200000,0,186,23,24,26,0
39,43,1926750,192150,1524600,210000,0,182,25,24,24,0
40,45,2001550,174250,1607300,220000,1,193,37,23,24,0
41,41,1812750,172550,1440200,200000,0,180,29,23,23,0
42,43,1882100,157150,1514950,210000,0,184,27,24,26,0
43,43,1950500,186650,1553850,210000,0,194,47,23,24,0
44,41,1755450,163550,1391900,200000,0,183,22,23,25,0
45,45,1952650,167250,1565400,220000,1,196,30,24,26,0
46,42,1821300,170600,1445700,205000,0,188,22,24,28,0
47,41,1826050,174550,1451500,200000,0,189,25,24,26,0
48,42,1839250,171600,1462650,205000,0,192,24,24,24,0
49,45,1952900,165750,1567150,220000,1,193,20,24,26,0
50,42,1853700,169600,1479100,205000,0,189,34,24,27,0
51,44,1897250,179200,1503050,215000,0,183,18,23,28,0
52,43,1914050,199650,1504400,210000,0,187,31,24,25,0
53,45,1966800,192750,1554050,220000,1,187,25,24,24,0
54,45,1951900,166250,1565650,220000,1,192,27,23,23,0
55,45,1853050,169250,1463800,220000,1,188,19,24,27,0
56,43,1849200,175650,1463550,210000,0,179,18,24,24,0
57,41,1833850,164050,1469800,200000,0,173,28,22,23,0
58,41,1760350,173550,1386800,200000,0,186,20,24,26,0
59,45,1944600,156750,1567850,220000,1,181,27,23,24,0
60,42,1790950,172600,1413350,205000,0,193,22,24,27,0
61,45,1987600,179250,1588350,220000,1,188,36,24,24,0
62,42,1840150,194600,1440550,205000,0,188,24,24,26,0
63,42,1794800,169100,1420700,205000,0,186,14,24,25,0
64,44,1894650,177200,1502450,215000,0,188,22,23,24,0
65,44,1934500,157700,1561800,215000,0,188,30,23,25,0
66,44,1960650,181200,1564450,215000,0,188,34,23,25,0
67,44,1969850,175700,1579150,215000,0,192,26,24,25,0
68,42,1876650,171600,1500050,205000,0,189,42,24,27,0
69,43,1851500,177150,1464350,210000,0,189,20,24,26,0
70,44,1821300,169700,1436600,215000,0,192,16,23,25,0
71,42,1801200,150600,1445600,205000,0,187,19,24,25,0
72,43,1832450,163650,1458800,210000,0,191,24,24,25,0
73,43,1882400,163150,1509250,210000,0,179,32,23,23,0
74,43,1920950,190150,1520800,210000,0,196,26,24,25,0
75,43,1854600,170150,1474450,210000,0,190,20,23,25,0
76,43,1835500,170150,1455350,210000,0,187,21,24,25,0
77,43,1839650,158650,1471000,210000,0,183,22,24,25,0
78,43,1861850,170650,1481200,210000,0,188,20,24,26,0
79,45,1978800,186750,1572050,220000,1,192,34,24,25,0
