seed,round,index,timeout,side,hero,star,final_health_cp
1,1,0,0,0,wc_vn_bellback,2,171000
1,1,0,0,0,wc_vn_cragstoat,1,65000
1,1,0,0,0,wc_vn_bellback,1,93444
1,1,0,0,1,wc_vn_n_seedpod,1,0
1,1,1,0,0,wc_vn_cragstoat,1,65000
1,1,1,0,0,wc_vn_bellback,1,93444
1,1,1,0,0,wc_vn_bellback,1,95000
1,1,1,0,0,wc_vn_grandmother_root,1,70000
1,1,1,0,1,wc_vn_n_seedpod,1,0
1,1,2,0,0,wc_vn_cragstoat,2,117000
1,1,2,0,0,wc_vn_grandmother_root,1,70000
1,1,2,0,0,wc_vn_cragstoat,1,63174
1,1,2,0,1,wc_vn_n_seedpod,1,0
1,1,3,0,0,wc_vn_cragstoat,1,65000
1,1,3,0,0,wc_vn_grandmother_root,1,70000
1,1,3,0,0,wc_vn_bellback,1,93444
1,1,3,0,0,wc_vn_bellback,1,95000
1,1,3,0,1,wc_vn_n_seedpod,1,0
1,1,4,0,0,wc_vn_cragstoat,1,65000
1,1,4,0,0,wc_vn_grandmother_root,2,126000
1,1,4,0,0,wc_vn_cragstoat,1,63174
1,1,4,0,1,wc_vn_n_seedpod,1,0
1,1,5,0,0,wc_vn_bellback,1,91888
1,1,5,0,0,wc_vn_grandmother_root,1,70000
1,1,5,0,0,wc_vn_grandmother_root,1,70000
1,1,5,0,0,wc_vn_bellback,1,95000
1,1,5,0,1,wc_vn_n_seedpod,1,0
1,1,6,0,0,wc_vn_cragstoat,1,65000
1,1,6,0,0,wc_vn_bellback,2,169444
1,1,6,0,0,wc_vn_grandmother_root,1,70000
1,1,6,0,1,wc_vn_n_seedpod,1,0
1,1,7,0,0,wc_vn_bellback,2,171000
1,1,7,0,0,wc_vn_grandmother_root,1,70000
1,1,7,0,0,wc_vn_cragstoat,1,65000
1,1,7,0,1,wc_vn_n_seedpod,1,0
1,2,0,0,0,wc_vn_bellback,2,171000
1,2,0,0,0,wc_vn_cragstoat,1,65000
1,2,0,0,0,wc_vn_bellback,2,168770
1,2,0,0,0,wc_vn_grandmother_root,1,70000
1,2,0,0,1,wc_vn_n_seedpod,1,0
1,2,0,0,1,wc_vn_n_reed_archer,1,0
1,2,1,0,0,wc_vn_cragstoat,1,50999
1,2,1,0,0,wc_vn_bellback,2,171000
1,2,1,0,0,wc_vn_snapvine,1,70000
1,2,1,0,0,wc_vn_bellback,1,95000
1,2,1,0,1,wc_vn_n_seedpod,1,0
1,2,1,0,1,wc_vn_n_reed_archer,1,0
1,2,2,0,0,wc_vn_cragstoat,2,117000
1,2,2,0,0,wc_vn_grandmother_root,2,126000
1,2,2,0,0,wc_vn_cragstoat,1,62565
1,2,2,0,0,wc_vn_bellback,1,95000
1,2,2,0,1,wc_vn_n_seedpod,1,0
1,2,2,0,1,wc_vn_n_reed_archer,1,0
1,2,3,0,0,wc_vn_cragstoat,2,110304
1,2,3,0,0,wc_vn_bellback,1,95000
1,2,3,0,0,wc_vn_snapvine,1,70000
1,2,3,0,0,wc_vn_snapvine,1,70000
1,2,3,0,1,wc_vn_n_seedpod,1,0
1,2,3,0,1,wc_vn_n_reed_archer,1,0
1,2,4,0,0,wc_vn_grandmother_root,2,126000
1,2,4,0,0,wc_vn_cragstoat,2,117000
1,2,4,0,0,wc_vn_bellback,1,95000
1,2,4,0,0,wc_vn_cragstoat,1,62565
1,2,4,0,1,wc_vn_n_seedpod,1,0
1,2,4,0,1,wc_vn_n_reed_archer,1,0
1,2,5,0,0,wc_vn_grandmother_root,2,126000
1,2,5,0,0,wc_vn_bellback,2,171000
1,2,5,0,0,wc_vn_snapvine,1,70000
1,2,5,0,0,wc_vn_cragstoat,1,60130
1,2,5,0,1,wc_vn_n_seedpod,1,0
1,2,5,0,1,wc_vn_n_reed_archer,1,0
1,2,6,0,0,wc_vn_cragstoat,1,63174
1,2,6,0,0,wc_vn_bellback,2,171000
1,2,6,0,0,wc_vn_grandmother_root,2,126000
1,2,6,0,0,wc_vn_cragstoat,1,57695
1,2,6,0,1,wc_vn_n_seedpod,1,0
1,2,6,0,1,wc_vn_n_reed_archer,1,0
1,2,7,0,0,wc_vn_bellback,2,164648
1,2,7,0,0,wc_vn_grandmother_root,1,70000
1,2,7,0,0,wc_vn_cragstoat,1,65000
1,2,7,0,0,wc_vn_bellback,2,171000
1,2,7,0,1,wc_vn_n_seedpod,1,0
1,2,7,0,1,wc_vn_n_reed_archer,1,0
1,3,0,0,0,wc_vn_bellback,2,171000
1,3,0,0,0,wc_vn_cragstoat,2,117000
1,3,0,0,0,wc_vn_bellback,2,168926
1,3,0,0,0,wc_vn_grandmother_root,2,126000
1,3,0,0,0,wc_vn_cragstoat,1,65000
1,3,0,0,1,wc_vn_n_seedpod,1,0
1,3,0,0,1,wc_vn_n_reed_archer,1,0
1,3,0,0,1,wc_vn_n_lantern_bulb,1,0
1,3,1,0,0,wc_vn_cragstoat,1,43869
1,3,1,0,0,wc_vn_bellback,2,171000
1,3,1,0,0,wc_vn_grandmother_root,2,126000
1,3,1,0,0,wc_vn_snapvine,1,70000
1,3,1,0,0,wc_vn_bellback,2,171000
1,3,1,0,1,wc_vn_n_seedpod,1,0
1,3,1,0,1,wc_vn_n_reed_archer,1,0
1,3,1,0,1,wc_vn_n_lantern_bulb,1,0
1,3,2,0,0,wc_vn_cragstoat,2,116065
1,3,2,0,0,wc_vn_grandmother_root,2,126000
1,3,2,0,0,wc_vn_cragstoat,2,117000
1,3,2,0,0,wc_vn_bellback,2,171000
1,3,2,0,0,wc_vn_bellback,1,95000
1,3,2,0,1,wc_vn_n_seedpod,1,0
1,3,2,0,1,wc_vn_n_reed_archer,1,0
1,3,2,0,1,wc_vn_n_lantern_bulb,1,0
