seed,round,index,side,id,hero,star,on_board,column,row,bench,facing,relic
1,7,2,0,3,wc_vn_cragstoat,3,1,3,3,-1,0,-1
1,7,2,0,11,wc_vn_grandmother_root,2,1,3,2,-1,0,3
1,7,2,0,47,wc_vn_bellback,2,1,4,3,-1,0,-1
1,7,2,0,83,wc_vn_bellback,2,1,2,3,-1,0,-1
1,7,2,0,130,wc_vn_prism_organ,1,1,2,0,-1,0,-1
1,7,2,0,173,wc_vn_bellback,1,0,-1,-1,0,0,-1
1,7,2,0,181,wc_vn_prism_organ,1,0,-1,-1,1,0,-1
1,7,2,0,189,wc_vn_cragstoat,1,0,-1,-1,2,0,-1
1,7,2,1,4,wc_vn_cragstoat,3,1,3,2,-1,0,1
1,7,2,1,12,wc_vn_grandmother_root,2,1,3,0,-1,0,-1
1,7,2,1,20,wc_vn_bellback,2,1,4,3,-1,0,-1
1,7,2,1,41,wc_vn_snapvine,2,1,4,0,-1,0,-1
1,7,2,1,121,wc_vn_snapvine,1,0,-1,-1,1,0,-1
1,7,2,1,144,wc_vn_grandmother_root,2,1,2,0,-1,0,-1
1,7,2,1,195,wc_vn_grandmother_root,1,0,-1,-1,0,0,-1
1,7,2,1,197,wc_vn_grandmother_root,1,0,-1,-1,2,0,-1
1,7,2,1,202,wc_vn_bellback,1,0,-1,-1,3,0,-1
