seed,round,index,variant,side,hero,star,relic,max_health_cp,final_health_cp,damage_done_cp,damage_received_cp,healing_done_cp,healing_received_cp,guard_prevented_cp,basic_hits,skill_damage_hits,moves,last_damage_tick,last_move_tick,last_5s_damage_cp,last_5s_healing_cp,final_state,column,row
1,7,2,actual_tournament,0,wc_vn_cragstoat,3,-1,210600,0,300942,231225,0,20625,0,16,0,0,304,0,0,0,8,3,3
1,7,2,actual_tournament,0,wc_vn_grandmother_root,2,3,126000,0,104056,159000,151283,33000,0,16,0,0,556,0,0,0,8,3,2
1,7,2,actual_tournament,0,wc_vn_bellback,2,-1,171000,0,37941,187500,0,16500,0,5,0,0,120,0,0,0,8,4,3
1,7,2,actual_tournament,0,wc_vn_bellback,2,-1,171000,70200,222077,148208,0,47408,0,27,0,7,898,431,36000,0,4,2,4
1,7,2,actual_tournament,0,wc_vn_prism_organ,1,-1,80000,80000,387871,33750,0,33750,0,23,18,1,897,393,40476,0,6,1,1
1,7,2,actual_tournament,1,wc_vn_cragstoat,3,1,210600,0,339081,285883,0,75283,0,16,2,2,346,337,0,0,8,3,3
1,7,2,actual_tournament,1,wc_vn_grandmother_root,2,-1,126000,64085,141308,226915,209000,165000,0,23,0,2,893,369,16800,33000,4,3,5
1,7,2,actual_tournament,1,wc_vn_bellback,2,-1,171000,0,29332,193000,0,22000,0,4,0,0,91,0,0,0,8,3,4
1,7,2,actual_tournament,1,wc_vn_snapvine,2,-1,126000,0,105704,126000,0,0,0,5,2,7,263,232,0,0,8,1,0
1,7,2,actual_tournament,1,wc_vn_grandmother_root,2,-1,126000,58911,144258,221089,207283,154000,0,25,0,2,893,369,16800,33000,4,5,5
1,7,2,baseline_replay,0,wc_vn_cragstoat,3,-1,210600,0,300942,231225,0,20625,0,16,0,0,304,0,0,0,8,3,3
1,7,2,baseline_replay,0,wc_vn_grandmother_root,2,3,126000,0,104056,159000,151283,33000,0,16,0,0,556,0,0,0,8,3,2
1,7,2,baseline_replay,0,wc_vn_bellback,2,-1,171000,0,37941,187500,0,16500,0,5,0,0,120,0,0,0,8,4,3
1,7,2,baseline_replay,0,wc_vn_bellback,2,-1,171000,70200,222077,148208,0,47408,0,27,0,7,898,431,36000,0,4,2,4
1,7,2,baseline_replay,0,wc_vn_prism_organ,1,-1,80000,80000,387871,33750,0,33750,0,23,18,1,897,393,40476,0,6,1,1
1,7,2,baseline_replay,1,wc_vn_cragstoat,3,1,210600,0,339081,285883,0,75283,0,16,2,2,346,337,0,0,8,3,3
1,7,2,baseline_replay,1,wc_vn_grandmother_root,2,-1,126000,64085,141308,226915,209000,165000,0,23,0,2,893,369,16800,33000,4,3,5
1,7,2,baseline_replay,1,wc_vn_bellback,2,-1,171000,0,29332,193000,0,22000,0,4,0,0,91,0,0,0,8,3,4
1,7,2,baseline_replay,1,wc_vn_snapvine,2,-1,126000,0,105704,126000,0,0,0,5,2,7,263,232,0,0,8,1,0
1,7,2,baseline_replay,1,wc_vn_grandmother_root,2,-1,126000,58911,144258,221089,207283,154000,0,25,0,2,893,369,16800,33000,4,5,5
